n,kdp_title,pages,trim,price,channel,interior_file,cover_file,series
14,Perimenopause Symptom & Mood Chart,107,6x9,9.99,Lulu print Global Distribution,14_Perimenopause_Symptom_and_Mood_Chart_6x9.pdf,14_Perimenopause_Chart_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
15,Low FODMAP Food & Symptom Diary,88,6x9,9.99,Lulu print Global Distribution,15_Gut_Health_and_Low_FODMAP_Symptom_Diary_6x9.pdf,15_FODMAP_Gut_Diary_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
16,Digital Detox 30-Day Screen Time Workbook,96,6x9,9.99,Lulu print Global Distribution,16_Digital_Detox_Screen_Time_Workbook_30_Day_6x9.pdf,16_Digital_Detox_30_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
17,Postpartum Recovery Planner,102,6x9,9.99,Lulu print Global Distribution,17_Postpartum_Core_and_Pelvic_Floor_Recovery_Planner_6x9.pdf,17_Postpartum_Recovery_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
18,Autoimmune Flare & Energy Journal,113,6x9,9.99,Lulu print Global Distribution,18_Autoimmune_Flare_and_Energy_Level_Journal_6x9.pdf,18_Autoimmune_Flare_COVER_WRAP.pdf,WELLNESS TRACKING SERIES
19,GLP-1 High-Protein Grocery & Meal Prep Planner,136,6x9,9.99,Lulu print Global Distribution,19_GLP1_Protein_Grocery_and_Prep_Planner_6x9.pdf,19_GLP1_Protein_Grocery_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
20,"GLP-1 Restaurant, Travel & Social Event Log",85,6x9,9.99,Lulu print Global Distribution,20_GLP1_Restaurant_Travel_and_Social_Log_6x9.pdf,20_GLP1_Out_and_About_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
21,"GLP-1 Measurements, Photos & Lab Archive",85,6x9,9.99,Lulu print Global Distribution,21_GLP1_Measurements_Photos_and_Labs_Archive_6x9.pdf,21_GLP1_Archive_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
22,"GLP-1 Sleep, Bowel & Hydration Companion",110,6x9,9.99,Lulu print Global Distribution,22_GLP1_Sleep_Bowel_and_Hydration_Companion_6x9.pdf,22_GLP1_Sleep_Bowel_Water_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
23,GLP-1 Body Image & Mindset Journal,110,6x9,9.99,Lulu print Global Distribution,23_GLP1_Body_Image_and_Mindset_90_Day_6x9.pdf,23_GLP1_Body_Image_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
24,GLP-1 Weekly Review & Clinic Brief Binder,115,6x9,9.99,Lulu print Global Distribution,24_GLP1_Weekly_Review_and_Clinic_Brief_6x9.pdf,24_GLP1_Weekly_Brief_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
25,GLP-1 Shot Day 0-48 Hour Pocket Log,79,5x8,9.99,Lulu print Global Distribution,25_GLP1_Shot_Day_0_48h_Pocket_Log_5x8.pdf,25_GLP1_Shot_Day_Pocket_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
26,GLP-1 Protein Kitchen Recipe & Leftover Log,98,6x9,9.99,Lulu print Global Distribution,26_GLP1_Protein_Kitchen_Recipe_and_Leftover_Log_6x9.pdf,26_GLP1_Protein_Kitchen_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
27,GLP-1 Five-Minute Morning Pages,130,6x9,9.99,Lulu print Global Distribution,27_GLP1_Five_Minute_Morning_Pages_6x9.pdf,27_GLP1_Five_Minute_COVER_WRAP.pdf,GLP-1 COMPANION SERIES
28,Anxiety & Panic Sensation Log,110,6x9,9.99,Lulu print Global Distribution,28_Anxiety_and_Panic_Sensation_Log_6x9.pdf,28_Anxiety_Panic_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
29,Sleep Window & Wind-Down Diary,104,6x9,9.99,Lulu print Global Distribution,29_Sleep_Window_and_Wind_Down_Diary_6x9.pdf,29_Sleep_Window_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
30,PMDD & Cycle Mood Chart,188,6x9,11.99,Lulu print Global Distribution,30_PMDD_and_Cycle_Mood_Chart_6x9.pdf,30_PMDD_Cycle_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
31,Glucose & Meal Timing Log,110,6x9,9.99,Lulu print Global Distribution,31_Glucose_and_Meal_Timing_Log_6x9.pdf,31_Glucose_Meal_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
32,Chronic Pain Body Map & Flare Diary,92,6x9,9.99,Lulu print Global Distribution,32_Chronic_Pain_Body_Map_and_Flare_Diary_6x9.pdf,32_Chronic_Pain_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
33,Grief & Loss 90-Day Journal,117,6x9,9.99,Lulu print Global Distribution,33_Grief_and_Loss_90_Day_Journal_6x9.pdf,33_Grief_Loss_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
34,12-Week Habit Operating System,117,6x9,9.99,Lulu print Global Distribution,34_Twelve_Week_Habit_Operating_System_6x9.pdf,34_Habit_OS_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
35,Burnout & Energy Budget Journal,104,6x9,9.99,Lulu print Global Distribution,35_Burnout_and_Energy_Budget_Journal_6x9.pdf,35_Burnout_Energy_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
36,Bladder & Pelvic Symptom Diary,88,6x9,9.99,Lulu print Global Distribution,36_Bladder_and_Pelvic_Symptom_Diary_6x9.pdf,36_Bladder_Pelvic_COVER_WRAP.pdf,WELLNESS COMPANION SERIES
