number,title,collection,path,status
107,Aging Strong Journey,VOLUME-4,VOLUME-4/KDP-Complete-Kit/107_Aging_Strong_Journey,HOLD_CANDIDATE
108,Care Partner Long Goodbye,VOLUME-4,VOLUME-4/KDP-Complete-Kit/108_Care_Partner_Long_Goodbye,HOLD_CANDIDATE
109,Caregiver Handoff Notebook,VOLUME-5,VOLUME-5/KDP-Complete-Kit/109_Caregiver_Handoff_Notebook,HOLD_CANDIDATE
110,Family Medical Records Index,VOLUME-5,VOLUME-5/KDP-Complete-Kit/110_Family_Medical_Records_Index,HOLD_CANDIDATE
111,Dementia Visit Memory Book,VOLUME-5,VOLUME-5/KDP-Complete-Kit/111_Dementia_Visit_Memory_Book,HOLD_CANDIDATE
112,Meal Train Coordination Ledger,VOLUME-5,VOLUME-5/KDP-Complete-Kit/112_Meal_Train_Coordination_Ledger,HOLD_CANDIDATE
113,Job Search Pipeline Board,VOLUME-5,VOLUME-5/KDP-Complete-Kit/113_Job_Search_Pipeline_Board,HOLD_CANDIDATE
114,Interview Story Bank,VOLUME-5,VOLUME-5/KDP-Complete-Kit/114_Interview_Story_Bank,HOLD_CANDIDATE
115,Remote Work Boundary Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/115_Remote_Work_Boundary_Log,HOLD_CANDIDATE
116,Meeting Decision Register,VOLUME-5,VOLUME-5/KDP-Complete-Kit/116_Meeting_Decision_Register,HOLD_CANDIDATE
117,Freelancer Scope Ledger,VOLUME-5,VOLUME-5/KDP-Complete-Kit/117_Freelancer_Scope_Ledger,HOLD_CANDIDATE
118,Household Repair Evidence Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/118_Household_Repair_Evidence_Log,HOLD_CANDIDATE
119,Apartment Move-In Inspector,VOLUME-5,VOLUME-5/KDP-Complete-Kit/119_Apartment_Move-In_Inspector,HOLD_CANDIDATE
120,Storm Readiness Checklist Journal,VOLUME-5,VOLUME-5/KDP-Complete-Kit/120_Storm_Readiness_Checklist_Journal,HOLD_CANDIDATE
121,Home Energy Observation Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/121_Home_Energy_Observation_Log,HOLD_CANDIDATE
122,Pantry Rotation Planner,VOLUME-5,VOLUME-5/KDP-Complete-Kit/122_Pantry_Rotation_Planner,HOLD_CANDIDATE
123,Food Allergy Restaurant Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/123_Food_Allergy_Restaurant_Log,HOLD_CANDIDATE
124,Migraine Context Journal,VOLUME-5,VOLUME-5/KDP-Complete-Kit/124_Migraine_Context_Journal,HOLD_CANDIDATE
125,Long COVID Energy Budget,VOLUME-5,VOLUME-5/KDP-Complete-Kit/125_Long_COVID_Energy_Budget,HOLD_CANDIDATE
126,Sleep Environment Experiment Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/126_Sleep_Environment_Experiment_Log,HOLD_CANDIDATE
127,Menopause Appointment Brief,VOLUME-5,VOLUME-5/KDP-Complete-Kit/127_Menopause_Appointment_Brief,HOLD_CANDIDATE
128,Pelvic Floor Care Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/128_Pelvic_Floor_Care_Log,HOLD_CANDIDATE
129,Physical Therapy Home Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/129_Physical_Therapy_Home_Log,HOLD_CANDIDATE
130,Medication Reconciliation Notebook,VOLUME-5,VOLUME-5/KDP-Complete-Kit/130_Medication_Reconciliation_Notebook,HOLD_CANDIDATE
131,Lab Result Copy Ledger,VOLUME-5,VOLUME-5/KDP-Complete-Kit/131_Lab_Result_Copy_Ledger,HOLD_CANDIDATE
132,Hearing Appointment Tracker,VOLUME-5,VOLUME-5/KDP-Complete-Kit/132_Hearing_Appointment_Tracker,HOLD_CANDIDATE
133,Vision Change Observation Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/133_Vision_Change_Observation_Log,HOLD_CANDIDATE
134,Dental Treatment Questions Book,VOLUME-5,VOLUME-5/KDP-Complete-Kit/134_Dental_Treatment_Questions_Book,HOLD_CANDIDATE
135,Difficult Conversation Planner,VOLUME-5,VOLUME-5/KDP-Complete-Kit/135_Difficult_Conversation_Planner,HOLD_CANDIDATE
136,Grief Memory Archive,VOLUME-5,VOLUME-5/KDP-Complete-Kit/136_Grief_Memory_Archive,HOLD_CANDIDATE
137,Sensory-Friendly Day Planner,VOLUME-5,VOLUME-5/KDP-Complete-Kit/137_Sensory-Friendly_Day_Planner,HOLD_CANDIDATE
138,ADHD Task Friction Journal,VOLUME-5,VOLUME-5/KDP-Complete-Kit/138_ADHD_Task_Friction_Journal,HOLD_CANDIDATE
139,Digital Declutter Fieldbook,VOLUME-5,VOLUME-5/KDP-Complete-Kit/139_Digital_Declutter_Fieldbook,HOLD_CANDIDATE
140,Subscription Cost Audit,VOLUME-5,VOLUME-5/KDP-Complete-Kit/140_Subscription_Cost_Audit,HOLD_CANDIDATE
141,Volunteer Project Handoff,VOLUME-5,VOLUME-5/KDP-Complete-Kit/141_Volunteer_Project_Handoff,HOLD_CANDIDATE
142,Personal Safety Check-In Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/142_Personal_Safety_Check-In_Log,HOLD_CANDIDATE
143,Travel Accessibility Planner,VOLUME-5,VOLUME-5/KDP-Complete-Kit/143_Travel_Accessibility_Planner,HOLD_CANDIDATE
144,Creative Practice Momentum Log,VOLUME-5,VOLUME-5/KDP-Complete-Kit/144_Creative_Practice_Momentum_Log,HOLD_CANDIDATE
145,Care Plan Handoff Grid,VOLUME-6,VOLUME-6/KDP-Complete-Kit/145_Care_Plan_Handoff_Grid,HOLD_CANDIDATE
146,Caregiver Appointment Brief,VOLUME-6,VOLUME-6/KDP-Complete-Kit/146_Caregiver_Appointment_Brief,HOLD_CANDIDATE
147,Family Care Cost Ledger,VOLUME-6,VOLUME-6/KDP-Complete-Kit/147_Family_Care_Cost_Ledger,HOLD_CANDIDATE
148,Hospital Discharge Questions,VOLUME-6,VOLUME-6/KDP-Complete-Kit/148_Hospital_Discharge_Questions,HOLD_CANDIDATE
149,Specialist Referral Tracker,VOLUME-6,VOLUME-6/KDP-Complete-Kit/149_Specialist_Referral_Tracker,HOLD_CANDIDATE
150,Health Insurance Call Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/150_Health_Insurance_Call_Log,HOLD_CANDIDATE
151,Work Accommodation Request Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/151_Work_Accommodation_Request_Log,HOLD_CANDIDATE
152,Return-to-Work Transition Planner,VOLUME-6,VOLUME-6/KDP-Complete-Kit/152_Return-to-Work_Transition_Planner,HOLD_CANDIDATE
153,Layoff Recovery Pipeline,VOLUME-6,VOLUME-6/KDP-Complete-Kit/153_Layoff_Recovery_Pipeline,HOLD_CANDIDATE
154,Small Business Cashflow Notebook,VOLUME-6,VOLUME-6/KDP-Complete-Kit/154_Small_Business_Cashflow_Notebook,HOLD_CANDIDATE
155,Client Onboarding Fieldbook,VOLUME-6,VOLUME-6/KDP-Complete-Kit/155_Client_Onboarding_Fieldbook,HOLD_CANDIDATE
156,Project Risk Register,VOLUME-6,VOLUME-6/KDP-Complete-Kit/156_Project_Risk_Register,HOLD_CANDIDATE
157,Tenant Repair Escalation Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/157_Tenant_Repair_Escalation_Log,HOLD_CANDIDATE
158,Home Inventory Recovery Book,VOLUME-6,VOLUME-6/KDP-Complete-Kit/158_Home_Inventory_Recovery_Book,HOLD_CANDIDATE
159,Flood Cleanup Record,VOLUME-6,VOLUME-6/KDP-Complete-Kit/159_Flood_Cleanup_Record,HOLD_CANDIDATE
160,Power Outage Continuity Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/160_Power_Outage_Continuity_Log,HOLD_CANDIDATE
161,Accessible Event Planner,VOLUME-6,VOLUME-6/KDP-Complete-Kit/161_Accessible_Event_Planner,HOLD_CANDIDATE
162,Careful Travel Transit Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/162_Careful_Travel_Transit_Log,HOLD_CANDIDATE
163,Medication List Reconciliation,VOLUME-6,VOLUME-6/KDP-Complete-Kit/163_Medication_List_Reconciliation,HOLD_CANDIDATE
164,Chronic Care Visit Summary,VOLUME-6,VOLUME-6/KDP-Complete-Kit/164_Chronic_Care_Visit_Summary,HOLD_CANDIDATE
165,Symptom Context Timeline,VOLUME-6,VOLUME-6/KDP-Complete-Kit/165_Symptom_Context_Timeline,HOLD_CANDIDATE
166,Sleep Routine Observation Book,VOLUME-6,VOLUME-6/KDP-Complete-Kit/166_Sleep_Routine_Observation_Book,HOLD_CANDIDATE
167,Food Response Context Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/167_Food_Response_Context_Log,HOLD_CANDIDATE
168,Pain Conversation Notebook,VOLUME-6,VOLUME-6/KDP-Complete-Kit/168_Pain_Conversation_Notebook,HOLD_CANDIDATE
169,Therapy Session Reflection Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/169_Therapy_Session_Reflection_Log,HOLD_CANDIDATE
170,Support Network Check-In Book,VOLUME-6,VOLUME-6/KDP-Complete-Kit/170_Support_Network_Check-In_Book,HOLD_CANDIDATE
171,Grief Date Memory Journal,VOLUME-6,VOLUME-6/KDP-Complete-Kit/171_Grief_Date_Memory_Journal,HOLD_CANDIDATE
172,Sensory Load Field Notes,VOLUME-6,VOLUME-6/KDP-Complete-Kit/172_Sensory_Load_Field_Notes,HOLD_CANDIDATE
173,Focus Environment Experiment,VOLUME-6,VOLUME-6/KDP-Complete-Kit/173_Focus_Environment_Experiment,HOLD_CANDIDATE
174,Task Start Research Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/174_Task_Start_Research_Log,HOLD_CANDIDATE
175,Household Decision Register,VOLUME-6,VOLUME-6/KDP-Complete-Kit/175_Household_Decision_Register,HOLD_CANDIDATE
176,Digital Account Map,VOLUME-6,VOLUME-6/KDP-Complete-Kit/176_Digital_Account_Map,HOLD_CANDIDATE
177,Document Renewal Tracker,VOLUME-6,VOLUME-6/KDP-Complete-Kit/177_Document_Renewal_Tracker,HOLD_CANDIDATE
178,Personal Data Request Log,VOLUME-6,VOLUME-6/KDP-Complete-Kit/178_Personal_Data_Request_Log,HOLD_CANDIDATE
179,Volunteer Shift Handoff,VOLUME-6,VOLUME-6/KDP-Complete-Kit/179_Volunteer_Shift_Handoff,HOLD_CANDIDATE
180,Community Project Ledger,VOLUME-6,VOLUME-6/KDP-Complete-Kit/180_Community_Project_Ledger,HOLD_CANDIDATE
181,Neighborhood Mutual Aid Ledger,VOLUME-7,VOLUME-7/KDP-Complete-Kit/181_Neighborhood_Mutual_Aid_Ledger,HOLD_CANDIDATE
182,School Support Meeting Brief,VOLUME-7,VOLUME-7/KDP-Complete-Kit/182_School_Support_Meeting_Brief,HOLD_CANDIDATE
183,Special Education Document Index,VOLUME-7,VOLUME-7/KDP-Complete-Kit/183_Special_Education_Document_Index,HOLD_CANDIDATE
184,Youth Activity Safety Log,VOLUME-7,VOLUME-7/KDP-Complete-Kit/184_Youth_Activity_Safety_Log,HOLD_CANDIDATE
185,Elder Housing Options Notebook,VOLUME-7,VOLUME-7/KDP-Complete-Kit/185_Elder_Housing_Options_Notebook,HOLD_CANDIDATE
186,Care Transition Contact Book,VOLUME-7,VOLUME-7/KDP-Complete-Kit/186_Care_Transition_Contact_Book,HOLD_CANDIDATE
187,Family Emergency Information File,VOLUME-7,VOLUME-7/KDP-Complete-Kit/187_Family_Emergency_Information_File,HOLD_CANDIDATE
188,Estate Task Coordination Ledger,VOLUME-7,VOLUME-7/KDP-Complete-Kit/188_Estate_Task_Coordination_Ledger,HOLD_CANDIDATE
189,Probate Document Tracker,VOLUME-7,VOLUME-7/KDP-Complete-Kit/189_Probate_Document_Tracker,HOLD_CANDIDATE
190,Tax Document Collection Log,VOLUME-7,VOLUME-7/KDP-Complete-Kit/190_Tax_Document_Collection_Log,HOLD_CANDIDATE
191,Debt Negotiation Call Record,VOLUME-7,VOLUME-7/KDP-Complete-Kit/191_Debt_Negotiation_Call_Record,HOLD_CANDIDATE
192,Household Bill Calendar,VOLUME-7,VOLUME-7/KDP-Complete-Kit/192_Household_Bill_Calendar,HOLD_CANDIDATE
193,First Apartment Setup Planner,VOLUME-7,VOLUME-7/KDP-Complete-Kit/193_First_Apartment_Setup_Planner,HOLD_CANDIDATE
194,Home Accessibility Survey,VOLUME-7,VOLUME-7/KDP-Complete-Kit/194_Home_Accessibility_Survey,HOLD_CANDIDATE
195,Vehicle Maintenance Evidence Log,VOLUME-7,VOLUME-7/KDP-Complete-Kit/195_Vehicle_Maintenance_Evidence_Log,HOLD_CANDIDATE
196,Pet Care Handoff Book,VOLUME-7,VOLUME-7/KDP-Complete-Kit/196_Pet_Care_Handoff_Book,HOLD_CANDIDATE
197,Garden Season Field Journal,VOLUME-7,VOLUME-7/KDP-Complete-Kit/197_Garden_Season_Field_Journal,HOLD_CANDIDATE
198,Community Garden Coordinator,VOLUME-7,VOLUME-7/KDP-Complete-Kit/198_Community_Garden_Coordinator,HOLD_CANDIDATE
199,Repair Vendor Comparison Ledger,VOLUME-7,VOLUME-7/KDP-Complete-Kit/199_Repair_Vendor_Comparison_Ledger,HOLD_CANDIDATE
200,Storm Claim Evidence Notebook,VOLUME-7,VOLUME-7/KDP-Complete-Kit/200_Storm_Claim_Evidence_Notebook,HOLD_CANDIDATE
