product,title,research_basis,distinct_fields
109,Caregiver Handoff Notebook,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
170,Support Network Check-In Book,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
171,Grief Date Memory Journal,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
172,Sensory Load Field Notes,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
173,Focus Environment Experiment,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
174,Task Start Research Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
175,Household Decision Register,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
176,Digital Account Map,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
177,Document Renewal Tracker,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
178,Personal Data Request Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
179,Volunteer Shift Handoff,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
180,Community Project Ledger,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
181,Neighborhood Mutual Aid Ledger,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
182,School Support Meeting Brief,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
183,Special Education Document Index,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
184,Youth Activity Safety Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
185,Elder Housing Options Notebook,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
186,Care Transition Contact Book,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
187,Family Emergency Information File,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
188,Estate Task Coordination Ledger,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
189,Probate Document Tracker,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
190,Tax Document Collection Log,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
191,Debt Negotiation Call Record,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
192,Household Bill Calendar,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
193,First Apartment Setup Planner,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
194,Home Accessibility Survey,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
195,Vehicle Maintenance Evidence Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
196,Pet Care Handoff Book,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
197,Garden Season Field Journal,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
198,Community Garden Coordinator,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
199,Repair Vendor Comparison Ledger,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
200,Storm Claim Evidence Notebook,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
201,Emergency Contact Update Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
202,Travel Document Checklist,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
203,Accessible Lodging Call Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
204,Conference Networking Follow-Up,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
205,Portfolio Revision Tracker,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
206,Certification Study Evidence Log,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
207,Apprenticeship Application Ledger,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
208,Shift Worker Sleep Record,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
209,Care Worker Boundary Notebook,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
210,Burnout Workload Evidence Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
211,Union Meeting Notes Register,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
212,Board Meeting Decision Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
213,Nonprofit Grant Calendar,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
214,Donation Inventory Ledger,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
215,Creative Collaboration Handoff,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
216,Performance Rehearsal Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
217,Community Event Runbook,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
218,Neighborhood Contact Directory,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
219,Library Research Trail,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
220,Local History Interview Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
221,Home School Activity Log,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
222,College Application Tracker,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
223,Scholarship Evidence Ledger,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
224,Internship Follow-Up Register,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
225,Professional Development Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
226,Team Onboarding Notebook,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
227,Manager One-on-One Register,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
228,Workload Negotiation Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
229,Contractor Project Handoff,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
230,Renovation Budget Evidence Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
231,Appliance Warranty Tracker,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
232,Vehicle Trip Maintenance Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
233,Pet Medication Question Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
234,Pet Adoption Transition Book,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
235,Plant Care Observation Journal,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
236,Seasonal Home Reset Ledger,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
237,Emergency Supply Rotation Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
238,Document Backup Checklist,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
239,Password Manager Migration Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
240,Privacy Preference Register,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
241,Subscription Cancellation Record,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
242,Household Purchase Decision Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
243,Accessible Restaurant Call Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
244,Medical Interpreter Appointment Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
245,Caregiver Respite Planning Book,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
246,Support Group Meeting Notes,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
247,Personal Values Decision Journal,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
248,Difficult Email Draft Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
249,Boundary Conversation Record,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
250,Creative Project Archive,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
251,Maker Workshop Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
252,Reading Project Notebook,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
253,Accessible Workplace Setup Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
254,Care Team Question Cards,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
255,Appointment Transportation Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
256,Home Care Supply Ledger,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
257,Family Calendar Handoff,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
258,Shared Household Task Board,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
259,New Parent Support Handoff,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
260,School Pickup Authorization Log,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
261,Child Activity Equipment Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
262,Caregiver Meal Planning Book,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
263,Community Resource Call Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
264,Benefits Application Tracker,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
265,Housing Search Evidence Book,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
266,Lease Renewal Decision Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
267,Moving Day Command Book,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
268,Household Utility Transfer Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
269,Insurance Claim Timeline,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
270,Personal Property Photo Index,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
271,Storm Repair Contractor Log,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
272,Seasonal Vehicle Readiness Book,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
273,Workplace Incident Fact Log,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
274,HR Conversation Preparation Book,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
275,Career Change Research Ledger,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
276,Freelance Invoice Follow-Up Log,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
277,Small Team Process Notebook,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
278,Meeting Facilitation Fieldbook,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
279,Volunteer Training Register,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
280,Fundraising Outreach Tracker,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
281,Creative Submission Calendar,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
282,Artist Materials Inventory,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
283,Performance Venue Research Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
284,Travel Medication Packing Record,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
285,Accessibility Accommodation Request Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
286,Language Access Planning Book,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
287,Personal Archive Finding Aid,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
288,Life Admin Weekly Review,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-01,Bill Day,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-02,Debt in View,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-03,Tax Year Map,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-04,Receipt to Record,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-05,Subscription Cleanout,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-06,Home Inventory Atlas,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
DN-07,Insurance Claim Notes,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-08,Emergency Ready at Home,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
DN-09,Digital Legacy Map,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-10,"Final Wishes, Plainly",public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-11,Retirement Bridge,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-12,Benefits Renewal Map,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-13,Appointment Notes,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
DN-14,Medical Records Index,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
DN-15,Medication Conversation Log,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
DN-16,Care Transition Home,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
DN-17,Home Access Plan,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
DN-18,Disaster Recovery Checklist,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-19,Two-Home Calendar,FEMA preparedness and property-record guidance,Area / item | Condition or observation | Photo / receipt reference | Person or vendor | Next action
DN-20,School Support Meetings,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
DN-21,Childcare Relay,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
DN-22,First Year Paperwork,public workforce and project-management practice,Project / role | Current state | Evidence or context | Owner / contact | Next action
DN-23,Senior Move and Downsizing,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-24,Household Safety Check,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-25,New Hire Launchpad,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-26,Professional Credentials Log,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
DN-27,Certification Study Map,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
DN-28,Invoice Follow-Up,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-29,Reseller Stock and Orders,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-30,Vendor and Supply Order Log,CFPB public consumer-finance guidance,Date / period | Source or account | Amount or status as stated | Document location | Next follow-up
DN-31,Career Portfolio,official-care-record organization guidance; records only,Date / visit | What was observed or said | Provider / source | Question to bring forward | Next confirmed step
DN-32,College Application Map,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
DN-33,Scholarship and Aid Tracker,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
DN-34,Workplace Accommodation Paper Trail,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
DN-35,Student Records and Deadlines,U.S. Department of Education FAFSA/toolkit guidance,Program / school | Requirement or deadline | Document received | Contact / reference | Next action
DN-36,Community Service Hours Log,public accessibility-planning guidance,Setting / request | Need or barrier observed | Contact / confirmation | Option considered | Next action
