n,stem,folder,title,subtitle,series,pages,trim,mechanic,daily,interior_file,cover_wrap,cover_front,listing,price,issues
47,47_Cardiac_BP_Wave,47_Cardiac_BP_Wave,Cardiac Rhythm & BP Wave,"Wave-Strip BP, Pulse & Exertion Windows with a 12-Week Trend (Undated)",CHRONIC CARE SERIES,112,6x9,"Wave strips: plot BP and pulse as connected waves (not separate numbers), mark exertion windows, and see the 12-week trend line in one place.",wave,47_Cardiac_BP_Wave_interior.pdf,47_Cardiac_BP_Wave_COVER_WRAP.pdf,47_Cardiac_BP_Wave_COVER_FRONT.pdf,listing.txt,9.99,[]
48,48_Stroke_Recovery_Runway,48_Stroke_Recovery_Runway,Stroke Recovery Runway,"Therapy Homework, Fatigue Gates & Milestone Runway (Undated)",CHRONIC CARE SERIES,118,6x9,"Runway: homework box per day, fatigue gates (green/yellow/red) to protect the work, milestones drawn on a runway rather than a scoreboard.",ladder,48_Stroke_Recovery_Runway_interior.pdf,48_Stroke_Recovery_Runway_COVER_WRAP.pdf,48_Stroke_Recovery_Runway_COVER_FRONT.pdf,listing.txt,9.99,[]
49,49_Oncology_Treatment_Companion,49_Oncology_Treatment_Companion,Oncology Treatment Companion,"Cycle Wheel, Side-Effect Meter & Appointment Brief — Records Only, Not Treatment Advice",CHRONIC CARE SERIES,112,6x9,"Cycle wheel (one ring per cycle day), a side-effect meter per symptom, and an appointment brief that turns 'I've been okay' into a one-page record.",wheel,49_Oncology_Treatment_Companion_interior.pdf,49_Oncology_Treatment_Companion_COVER_WRAP.pdf,49_Oncology_Treatment_Companion_COVER_FRONT.pdf,listing.txt,9.99,[]
50,50_Caregiver_Shift_Log,50_Caregiver_Shift_Log,Caregiver Shift Log,"Medications Given, Handoff Sheet & Respite Check — One Page per Shift (Undated)",CHRONIC CARE SERIES,83,6x9,"One page per shift: meds-given grid with time boxes, a handoff sheet the next caregiver can read in 60 seconds, and a three-line respite check for you.",ledger,50_Caregiver_Shift_Log_interior.pdf,50_Caregiver_Shift_Log_COVER_WRAP.pdf,50_Caregiver_Shift_Log_COVER_FRONT.pdf,listing.txt,9.99,[]
51,51_Vertigo_Position_Map,51_Vertigo_Position_Map,Vertigo Position Map,Trigger × Position × Duration Constellation & Weekly Balance Check (Undated),CHRONIC CARE SERIES,118,6x9,"Position constellation: mark the trigger, the position, and the duration as three linked points — one page shows the geometry of a dizzy spell.",map,51_Vertigo_Position_Map_interior.pdf,51_Vertigo_Position_Map_COVER_WRAP.pdf,51_Vertigo_Position_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
52,52_Tinnitus_Sound_Ladder,52_Tinnitus_Sound_Ladder,Tinnitus Sound Ladder,"Loudness Ladder, Masking Log & Ear-Picture Check (Undated)",CHRONIC CARE SERIES,118,6x9,"Loudness ladder (0 = silent, 10 = all you hear) scored daily, a masking log (what you tried), and an ear-picture check left vs right.",ladder,52_Tinnitus_Sound_Ladder_interior.pdf,52_Tinnitus_Sound_Ladder_COVER_WRAP.pdf,52_Tinnitus_Sound_Ladder_COVER_FRONT.pdf,listing.txt,9.99,[]
53,53_POTS_Position_Ledger,53_POTS_Position_Ledger,POTS Position Ledger,"Sitting-Lying-Standing HR Strips, Symptom Spikes & Hydration Ring (Undated)",CHRONIC CARE SERIES,118,6x9,"Position strips: HR while lying, sitting, standing drawn as three linked strips, symptom spikes marked, and a daily hydration ring you shade.",wave,53_POTS_Position_Ledger_interior.pdf,53_POTS_Position_Ledger_COVER_WRAP.pdf,53_POTS_Position_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
54,54_Hypermobility_Joint_Guard,54_Hypermobility_Joint_Guard,Hypermobility Joint Guard,"Joint-By-Joint Wear Log, Flare Shield & Safe-Movement Notes (Undated)",CHRONIC CARE SERIES,118,6x9,"Wear log per joint (0-3), a flare shield with overload gates (what load the joint took and how it answered), and movement notes — guard, don't guess.",map,54_Hypermobility_Joint_Guard_interior.pdf,54_Hypermobility_Joint_Guard_COVER_WRAP.pdf,54_Hypermobility_Joint_Guard_COVER_FRONT.pdf,listing.txt,9.99,[]
55,55_Symptom_Detective_Kit,55_Symptom_Detective_Kit,Symptom Detective Kit,"Evidence Cards, Hypothesis Tests & Timeline Board — Facts Only, No Conclusions",CHRONIC CARE SERIES,112,6x9,"Detective kit for the undiagnosed maze: an evidence card per symptom, a one-question hypothesis test (did X change Y?), and a timeline board where dates, not stories, line up.",cards,55_Symptom_Detective_Kit_interior.pdf,55_Symptom_Detective_Kit_COVER_WRAP.pdf,55_Symptom_Detective_Kit_COVER_FRONT.pdf,listing.txt,9.99,[]
56,56_IBD_Flare_Timeline,56_IBD_Flare_Timeline,IBD Flare Timeline & Medicine Ledger,"Severity Timeline, Bristol Rows & Medicine Log — As Prescribed, No Advice (Undated)",CHRONIC CARE SERIES,118,6x9,"Flare timeline (severity bars per day), Bristol shorthand rows, and a medicine ledger with an 'as prescribed' footer — the flare gets a shape; the ledger stays factual.",hist,56_IBD_Flare_Timeline_interior.pdf,56_IBD_Flare_Timeline_COVER_WRAP.pdf,56_IBD_Flare_Timeline_COVER_FRONT.pdf,listing.txt,9.99,[]
57,57_Shadow_Work_Doorways,57_Shadow_Work_Doorways,Shadow Work Doorways,"12 Door Cards, One Letter Back & a Weekly Truce Page (Undated)",INNER RANGE SERIES,112,6x9,"Twelve door cards (Anger, Need, Shame, Control, Permission…): write what is behind the door, then a letter back from that part — a structure, not a vague prompt dump.",cards,57_Shadow_Work_Doorways_interior.pdf,57_Shadow_Work_Doorways_COVER_WRAP.pdf,57_Shadow_Work_Doorways_COVER_FRONT.pdf,listing.txt,9.99,[]
58,58_Boundary_Script_Builder,58_Boundary_Script_Builder,Boundary Script Builder,"Fill-In Scripts, Rehearsal Rating & Three Doorways a Week (Undated)",INNER RANGE SERIES,112,6x9,"Script builder: four fill-in fields (This matters to me… When… I need… And here is what I can offer), a rehearsal star rating, then a doorway log of which script you actually used.",script,58_Boundary_Script_Builder_interior.pdf,58_Boundary_Script_Builder_COVER_WRAP.pdf,58_Boundary_Script_Builder_COVER_FRONT.pdf,listing.txt,9.99,[]
59,59_Mens_Pressure_Valve,59_Mens_Pressure_Valve,The Pressure Valve,"5-Minute Neutral Checks, Weight Log & a Garage Protocol (No Therapy Speak)",INNER RANGE SERIES,118,6x9,"One dial a day (pressure 0-10), three neutral fields (body, work, one good thing), and a garage protocol — a practical reset list with no jargon and no grading.",dial,59_Mens_Pressure_Valve_interior.pdf,59_Mens_Pressure_Valve_COVER_WRAP.pdf,59_Mens_Pressure_Valve_COVER_FRONT.pdf,listing.txt,9.99,[]
60,60_Inner_Critic_Courtroom,60_Inner_Critic_Courtroom,Inner Critic Courtroom,Evidence Ledger vs Feeling Log with a Weekly Verdict (Undated),INNER RANGE SERIES,118,6x9,"Courtroom: left column 'what the critic says', middle 'evidence in the record', right 'what I actually did' — then a verdict page where the case is closed or adjourned.",court,60_Inner_Critic_Courtroom_interior.pdf,60_Inner_Critic_Courtroom_COVER_WRAP.pdf,60_Inner_Critic_Courtroom_COVER_FRONT.pdf,listing.txt,9.99,[]
61,61_ADHD_Money_Bandwidth,61_ADHD_Money_Bandwidth,ADHD Money Bandwidth,"Decision-Load Meter, Three-Tier Budget & Interest Tracker (Undated)",INNER RANGE SERIES,118,6x9,"Money as bandwidth: a decision-load meter per money task, a three-tier budget (auto / one-look / big), and a paid-off-interest tracker that turns 'good enough' into a visible win.",meter,61_ADHD_Money_Bandwidth_interior.pdf,61_ADHD_Money_Bandwidth_COVER_WRAP.pdf,61_ADHD_Money_Bandwidth_COVER_FRONT.pdf,listing.txt,9.99,[]
62,62_One_Room_Launch,62_One_Room_Launch,One Room Launch,"20-Minute Slices, Attachment Triage & Done-Anything Board (Undated)",INNER RANGE SERIES,83,6x9,"One room, 20-minute slices: pick the slice, run the timer, triage each item (keep / keep-in-photo / give / drop), then check the done-anything board — progress without a mountain.",cards,62_One_Room_Launch_interior.pdf,62_One_Room_Launch_COVER_WRAP.pdf,62_One_Room_Launch_COVER_FRONT.pdf,listing.txt,9.99,[]
63,63_Connection_Compass,63_Connection_Compass,The Connection Compass,"5-Minute Check-Ins, Co-Regulation Ladder & After-Storm Notes (Undated)",INNER RANGE SERIES,118,6x9,"Compass for caregivers of neurodivergent kids: a 5-minute check-in (body, done, wanted, one hug), a co-regulation ladder (calm before words), and an after-storm note that ends the fight, not the day.",quad,63_Connection_Compass_interior.pdf,63_Connection_Compass_COVER_WRAP.pdf,63_Connection_Compass_COVER_FRONT.pdf,listing.txt,9.99,[]
64,64_Repair_Map,64_Repair_Map,Repair Map,Trigger → Rupture → Pause → Repair Bridge & Weekly Weather Report (Undated),INNER RANGE SERIES,118,6x9,"Bridge: trigger (what happened), rupture (what you did), pause (the 10-minute rule), repair (one sentence to repair). Plus a weekly weather report for the relationship, not the market.",bridge,64_Repair_Map_interior.pdf,64_Repair_Map_COVER_WRAP.pdf,64_Repair_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
65,65_Yes_No_Ledger,65_Yes_No_Ledger,The Yes/No Ledger,"One Ask per Page, Energy Cost Meter & Lean-No Box (Undated)",INNER RANGE SERIES,118,6x9,"One ask per page: the question, the energy cost 0-10, three reasons to say yes, and a lean-no box filled with a yes-that-feels-like-a-no — the ledger makes 'no' a decision, not a crisis.",ledger,65_Yes_No_Ledger_interior.pdf,65_Yes_No_Ledger_COVER_WRAP.pdf,65_Yes_No_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
66,66_Reboot_Orbit,66_Reboot_Orbit,Reboot Orbit,"Skills Inventory, Energy Map & 90-Day Launch Orbit (Undated)",INNER RANGE SERIES,118,6x9,"Orbit: inventory skills in rings (have / want / transferable), map energy to work type, then launch a 90-day orbit with one weekly burn — change without the cliff.",orbit,66_Reboot_Orbit_interior.pdf,66_Reboot_Orbit_COVER_WRAP.pdf,66_Reboot_Orbit_COVER_FRONT.pdf,listing.txt,9.99,[]
67,67_Work_Before_Feeling,67_Work_Before_Feeling,Work Before Feeling,"10-Minute Draft Timer, Resistance Log & Show-Up Scoreboard (Undated)",INNER RANGE SERIES,118,6x9,"Start before the feeling is right: ten-minute timer box, what you produced, then a resistance log (what said no today) and a show-up scoreboard — work, then meaning.",cards,67_Work_Before_Feeling_interior.pdf,67_Work_Before_Feeling_COVER_WRAP.pdf,67_Work_Before_Feeling_COVER_FRONT.pdf,listing.txt,9.99,[]
68,68_Done_Ladder,68_Done_Ladder,The Done Ladder,"Versions Not Perfection: Rung Check-Ins, Sunk-Cost Notes & Ship-It Gate (Undated)",INNER RANGE SERIES,118,6x9,"Done ladder: five rungs (v1 rough, v2 usable, v3 good, v4 better, v5 perfect-never), check what version you have, note sunk cost, then a ship-it gate when the rung is good enough.",ladder,68_Done_Ladder_interior.pdf,68_Done_Ladder_COVER_WRAP.pdf,68_Done_Ladder_COVER_FRONT.pdf,listing.txt,9.99,[]
69,69_Decision_Diet,69_Decision_Diet,The Decision Diet,"Pre-Decisions, Veto Cards & Daily Decision Meter (Undated)",INNER RANGE SERIES,118,6x9,"Decision diet: pre-decide five things in the morning (meals, outfit, one priority), note rejections with a veto card (a pre-made no), and meter decisions spent each day.",meter,69_Decision_Diet_interior.pdf,69_Decision_Diet_COVER_WRAP.pdf,69_Decision_Diet_COVER_FRONT.pdf,listing.txt,9.99,[]
70,70_Social_Battery_Gauge,70_Social_Battery_Gauge,Social Battery Gauge,"Charge Level, Recharge Map & Small-Talk Script Wallet (Undated)",INNER RANGE SERIES,118,6x9,"Gauge before and after social time (charge 0-10), a recharge map (what actually recharges you, from a menu), and a script wallet of three small-talk exits.",gauge,70_Social_Battery_Gauge_interior.pdf,70_Social_Battery_Gauge_COVER_WRAP.pdf,70_Social_Battery_Gauge_COVER_FRONT.pdf,listing.txt,9.99,[]
71,71_Time_Capsule,71_Time_Capsule,Time Capsule,"Body-Clock Map, Task-to-Hour Fits & Weekly Timey-Feeling Review (Undated)",INNER RANGE SERIES,118,6x9,"Body-clock wheel: mark your energy for each daypart, fit tasks to hours (deep 9-11, admin 2-4), then a weekly timey-feeling review — time blindness becomes a map.",wheel,71_Time_Capsule_interior.pdf,71_Time_Capsule_COVER_WRAP.pdf,71_Time_Capsule_COVER_FRONT.pdf,listing.txt,9.99,[]
72,72_Empty_Nest_Compass,72_Empty_Nest_Compass,The Empty Nest Compass,"Identity Inventory, Reconnection Map & Quiet-Recipe Grid (Undated)",INNER RANGE SERIES,118,6x9,"Compass: identity inventory (before 'parent of' and after), a reconnection map (people, places, skills left behind), and a quiet-recipe grid of small weeks that are yours alone.",quad,72_Empty_Nest_Compass_interior.pdf,72_Empty_Nest_Compass_COVER_WRAP.pdf,72_Empty_Nest_Compass_COVER_FRONT.pdf,listing.txt,9.99,[]
