n,stem,folder,title,subtitle,series,pages,trim,mechanic,daily,interior_file,cover_wrap,cover_front,listing,price,issues
83,83_AFib_Anticoagulation_Log,83_AFib_Anticoagulation_Log,AFib & Anticoagulation Log,"Palpitation Blotter, Pulse Wave & Dose As Directed (Undated Records)",DEEP HEALTH SERIES,118,6x9,"Palpitation blotter (time, what you were doing, how long) plus a daily pulse wave and a dose-as-directed log — the blotter catches the irregular, the wave shows the ordinary.",blotter,83_AFib_Anticoagulation_Log_interior.pdf,83_AFib_Anticoagulation_Log_COVER_WRAP.pdf,83_AFib_Anticoagulation_Log_COVER_FRONT.pdf,listing.txt,9.99,[]
84,84_Cholesterol_Journey,84_Cholesterol_Journey,Cholesterol & Statin Journey,"Lab Trend Bars, Muscle-Energy Side Log & Food Note (Records Only)",DEEP HEALTH SERIES,118,6x9,A lab-trend bar per result plus a muscle/energy side log — the two things a statin conversation actually needs: numbers over time and how the body answered.,hist,84_Cholesterol_Journey_interior.pdf,84_Cholesterol_Journey_COVER_WRAP.pdf,84_Cholesterol_Journey_COVER_FRONT.pdf,listing.txt,9.99,[]
85,85_PostConcussion_Recovery_Map,85_PostConcussion_Recovery_Map,Post-Concussion Recovery Map,"Headache, Light-Noise, Focus Quadrants & Rest Gate (Undated)",DEEP HEALTH SERIES,118,6x9,"Four quadrants (headache, light/noise, focus, rest gate) plus a 'what made it worse' line — concussion recovery is a load management problem, and the gate is the load.",quad,85_PostConcussion_Recovery_Map_interior.pdf,85_PostConcussion_Recovery_Map_COVER_WRAP.pdf,85_PostConcussion_Recovery_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
86,86_Fibromyalgia_Weather_Map,86_Fibromyalgia_Weather_Map,Fibromyalgia Weather Map,"Tender-Point Heat Map, Barometric Tick & Storm-Shaped Week (Undated)",DEEP HEALTH SERIES,118,6x9,"Tender-point heat map plus a weather tick (pressure, temp, rain) and a storm-shaped week — fibromyalgia lives at the intersection of body and weather, and this book watches both.",map,86_Fibromyalgia_Weather_Map_interior.pdf,86_Fibromyalgia_Weather_Map_COVER_WRAP.pdf,86_Fibromyalgia_Weather_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
87,87_Sjogren_Dryness_Map,87_Sjogren_Dryness_Map,Sjogren's Dryness Map,"Eye-Mouth-Skin Dryness Clock, Fatigue Wave & Lab Grid (Undated Records)",DEEP HEALTH SERIES,118,6x9,"A dryness clock (eyes, mouth, skin at morning/noon/night) plus a fatigue wave and a lab grid — dry is not one feeling; it is three clocks you learn to read.",map,87_Sjogren_Dryness_Map_interior.pdf,87_Sjogren_Dryness_Map_COVER_WRAP.pdf,87_Sjogren_Dryness_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
88,88_Scleroderma_Raynaud_Log,88_Scleroderma_Raynaud_Log,Scleroderma & Raynaud's Log,"Raynaud Episode Blotter, Finger Color Menu & Skin-Tightness Scale (Undated)",DEEP HEALTH SERIES,118,6x9,"Raynaud episode blotter (trigger, duration, finger color from a menu) plus a skin-tightness scale — the two signals that move together in scleroderma.",blotter,88_Scleroderma_Raynaud_Log_interior.pdf,88_Scleroderma_Raynaud_Log_COVER_WRAP.pdf,88_Scleroderma_Raynaud_Log_COVER_FRONT.pdf,listing.txt,9.99,[]
89,89_MS_Sensory_Map,89_MS_Sensory_Map,MS Sensory Map,"Vision, Hands, Legs, Balance & Heat Constellation (Undated Records)",DEEP HEALTH SERIES,118,6x9,"A weekly sensory constellation — vision, hands, legs, balance, heat — with daily symptom dots. MS symptoms scatter; the constellation gathers them into a shape the neurologist can read.",map,89_MS_Sensory_Map_interior.pdf,89_MS_Sensory_Map_COVER_WRAP.pdf,89_MS_Sensory_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
90,90_Eczema_Psoriasis_Flare_Map,90_Eczema_Psoriasis_Flare_Map,Eczema & Psoriasis Flare Map,"Itch Wave, Skin-Patch Map, Trigger Constellation & Care Log (Undated)",DEEP HEALTH SERIES,118,6x9,"An itch wave (0-10), a skin-patch map (scalp, hands, elbows, knees, torso, legs), a trigger constellation, and a care log — the flare gets four ways to be described.",map,90_Eczema_Psoriasis_Flare_Map_interior.pdf,90_Eczema_Psoriasis_Flare_Map_COVER_WRAP.pdf,90_Eczema_Psoriasis_Flare_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
91,91_ADHD_Task_Paralysis_Planner,91_ADHD_Task_Paralysis_Planner,ADHD Task Paralysis Planner,"Inertia Meter, Smallest-Step Box & 5-Minute Ramp (Undated)",LIFE RANGE SERIES,118,6x9,"Inertia meter first (0-10), then the smallest step that isn't the task, then a five-minute ramp — you do not start the mountain, you start the smallest step in front of it.",meter,91_ADHD_Task_Paralysis_Planner_interior.pdf,91_ADHD_Task_Paralysis_Planner_COVER_WRAP.pdf,91_ADHD_Task_Paralysis_Planner_COVER_FRONT.pdf,listing.txt,9.99,[]
92,92_Autistic_Burnout_Ledger,92_Autistic_Burnout_Ledger,Autistic Burnout Recovery Ledger,"Capacity Bands, Sensory-Load Count & Recovery Steps Map (Undated)",LIFE RANGE SERIES,118,6x9,"Capacity bands (green / yellow / red) instead of grades, a sensory-load count, and a zero-pressure recovery-steps map — burnout recovery is capacity management, not a to-do list.",capacity,92_Autistic_Burnout_Ledger_interior.pdf,92_Autistic_Burnout_Ledger_COVER_WRAP.pdf,92_Autistic_Burnout_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
93,93_Sensory_Overload_Emergency_Kit,93_Sensory_Overload_Emergency_Kit,Sensory Overload Emergency Kit,"Overwhelm Dial, Exit Map, Stim Menu & Aftercare (Undated)",LIFE RANGE SERIES,83,6x9,"An overwhelm dial, a pre-planned exit map (what is around you, what you can leave), a stim menu you choose from, and an aftercare line — the kit that makes overwhelm survivable in the moment.",blotter,93_Sensory_Overload_Emergency_Kit_interior.pdf,93_Sensory_Overload_Emergency_Kit_COVER_WRAP.pdf,93_Sensory_Overload_Emergency_Kit_COVER_FRONT.pdf,listing.txt,9.99,[]
94,94_Rejection_Sensitivity_Radar,94_Rejection_Sensitivity_Radar,Rejection Sensitivity Radar,"Event Log, Internal Replay & Evidence Check (Undated)",LIFE RANGE SERIES,118,6x9,"Three-column courtroom for RSD: what actually happened, the replay in your head, and the evidence check — the radar separates the feeling from the fact.",court,94_Rejection_Sensitivity_Radar_interior.pdf,94_Rejection_Sensitivity_Radar_COVER_WRAP.pdf,94_Rejection_Sensitivity_Radar_COVER_FRONT.pdf,listing.txt,9.99,[]
95,95_Intrusive_Thought_Compulsion_Ledger,95_Intrusive_Thought_Compulsion_Ledger,Intrusive Thought Reframe Ledger,"Urge Meter, Thought Label & Therapist-Directed Bounce-Back (Undated)",LIFE RANGE SERIES,118,6x9,"Urge meter 0-10, a thought label (obsession / worry / memory / thought-only), and a bounce-back written with your own therapist's direction — the ledger makes the loop visible, then follows the plan you already made.",ledger,95_Intrusive_Thought_Compulsion_Ledger_interior.pdf,95_Intrusive_Thought_Compulsion_Ledger_COVER_WRAP.pdf,95_Intrusive_Thought_Compulsion_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
96,96_Flashback_Grounding_Timeline,96_Flashback_Grounding_Timeline,Flashback & Grounding Timeline,"Trigger Blotter & 5-4-3-2-1 Grounding Field (Undated, Trauma-Informed)",LIFE RANGE SERIES,118,6x9,"A trigger blotter (time, what happened, how it felt) plus a structured 5-4-3-2-1 grounding field — see 5, hear 4, touch 3, smell 2, taste 1 — written into the page so it is available before the flashback.",ground,96_Flashback_Grounding_Timeline_interior.pdf,96_Flashback_Grounding_Timeline_COVER_WRAP.pdf,96_Flashback_Grounding_Timeline_COVER_FRONT.pdf,listing.txt,9.99,[]
97,97_Dissociation_Grounding_Map,97_Dissociation_Grounding_Map,Dissociation & Grounding Map,"Present-ness Gauge, Fog Scale, Anchor Menu & Body Check (Undated)",LIFE RANGE SERIES,83,6x9,"A present-ness gauge (how here am I), a fog scale, an anchor menu you choose from (name, body, object, room), and a body check — dissociation is a distance, and distance is measurable.",gauge,97_Dissociation_Grounding_Map_interior.pdf,97_Dissociation_Grounding_Map_COVER_WRAP.pdf,97_Dissociation_Grounding_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
98,98_Panic_Drill_Log,98_Panic_Drill_Log,Panic Drill Log,"Trigger, Body Signs, One Slow Action & After-Line (Undated)",LIFE RANGE SERIES,83,6x9,"A panic drill: trigger, the body signs (not the thoughts), one slow action, and an after-line — the record that separates a panic attack from a story about one.",dial,98_Panic_Drill_Log_interior.pdf,98_Panic_Drill_Log_COVER_WRAP.pdf,98_Panic_Drill_Log_COVER_FRONT.pdf,listing.txt,9.99,[]
99,99_Depression_Energy_Gauge,99_Depression_Energy_Gauge,Depression Energy Gauge,"Capacity vs Motivation, Smallest Action & One Light Thing (Undated)",LIFE RANGE SERIES,118,6x9,Two gauges that are usually confused: capacity (can I) and motivation (do I want) — plus the smallest possible action and one light thing. Depression lies about both gauges; this book records them separately.,gauge,99_Depression_Energy_Gauge_interior.pdf,99_Depression_Energy_Gauge_COVER_WRAP.pdf,99_Depression_Energy_Gauge_COVER_FRONT.pdf,listing.txt,9.99,[]
100,100_Pet_Loss_Grief_Ledger,100_Pet_Loss_Grief_Ledger,Pet Loss Grief Ledger,"Memory Pages, Grief Weather & Kindness Check (No Stages, Undated)",LIFE RANGE SERIES,118,6x9,"Memory pages (what I remember, a good day) plus a grief-weather line (sun, rain, fog, storm) and a kindness check — grief is weather, and weather is allowed to change without stages.",cards,100_Pet_Loss_Grief_Ledger_interior.pdf,100_Pet_Loss_Grief_Ledger_COVER_WRAP.pdf,100_Pet_Loss_Grief_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
101,101_Loss_After_Miscarriage,101_Loss_After_Miscarriage,Loss After Miscarriage,"Gentle Day Page, What I Remember & Who I Told (Undated)",LIFE RANGE SERIES,118,6x9,"A gentle day page (how today felt, what I remember), who I told, and a small memory box — a place where the loss is allowed to be real without being a task.",quad,101_Loss_After_Miscarriage_interior.pdf,101_Loss_After_Miscarriage_COVER_WRAP.pdf,101_Loss_After_Miscarriage_COVER_FRONT.pdf,listing.txt,9.99,[]
102,102_Estrangement_Contact_Ledger,102_Estrangement_Contact_Ledger,Estrangement & Contact Ledger,"Contact Decision, Cost Meter & Boundary Card (Undated)",LIFE RANGE SERIES,118,6x9,"A contact ledger: the decision, a cost meter (0-10), and a boundary card written once — estrangement is decided daily, and the ledger makes the decision yours instead of automatic.",meter,102_Estrangement_Contact_Ledger_interior.pdf,102_Estrangement_Contact_Ledger_COVER_WRAP.pdf,102_Estrangement_Contact_Ledger_COVER_FRONT.pdf,listing.txt,9.99,[]
103,103_Divorce_Rebuilding_Map,103_Divorce_Rebuilding_Map,Divorce & Rebuilding Map,"Identity Rings, What I Miss & One Step Forward (Undated)",LIFE RANGE SERIES,118,6x9,"Four rings around the center: who I am now, what I miss, what I want, one step — the map that keeps a divorce from becoming a disappearance of identity.",orbit,103_Divorce_Rebuilding_Map_interior.pdf,103_Divorce_Rebuilding_Map_COVER_WRAP.pdf,103_Divorce_Rebuilding_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
104,104_Sandwich_Generation_Bandwidth,104_Sandwich_Generation_Bandwidth,Sandwich Generation Bandwidth,"Parent Care, Kid Care, Me & What Got Covered (Undated)",LIFE RANGE SERIES,118,6x9,"A four-field daily log (parent care, kid care, me, what got covered) with a weekly bandwidth note — the sandwich generation's problem is invisibility, and this book makes the number of hats visible.",quad,104_Sandwich_Generation_Bandwidth_interior.pdf,104_Sandwich_Generation_Bandwidth_COVER_WRAP.pdf,104_Sandwich_Generation_Bandwidth_COVER_FRONT.pdf,listing.txt,9.99,[]
105,105_ADHD_Meds_Appointments,105_ADHD_Meds_Appointments,ADHD Meds & Appointments,"As-Directed Tracker, Appointment Brief & Refill Gate (Undated)",LIFE RANGE SERIES,118,6x9,"A one-row-per-day medicine tracker (exactly as directed), an appointment brief, and a refill gate — the ADHD brain forgets the routine, so the routine lives on the page.",ledger,105_ADHD_Meds_Appointments_interior.pdf,105_ADHD_Meds_Appointments_COVER_WRAP.pdf,105_ADHD_Meds_Appointments_COVER_FRONT.pdf,listing.txt,9.99,[]
106,106_Neurodivergent_Routine_Map,106_Neurodivergent_Routine_Map,Neurodivergent Routine Map,"Before-During-After Transition Plan, 3-Step Ramp & Flex Note (Undated)",LIFE RANGE SERIES,118,6x9,"A transition plan for each routine (before / during / after) plus a three-step ramp and a flex note — transitions are where neurodivergent days break, and the map makes them routine.",ladder,106_Neurodivergent_Routine_Map_interior.pdf,106_Neurodivergent_Routine_Map_COVER_WRAP.pdf,106_Neurodivergent_Routine_Map_COVER_FRONT.pdf,listing.txt,9.99,[]
107,107_Aging_Strong_Journey,107_Aging_Strong_Journey,Aging Strong Journey,"Mobility Check, Medicine List As Directed & Home-Safety Note (Undated)",LIFE RANGE SERIES,118,6x9,"A daily strength index (balance, grip, stair) plus a medicine list entered as directed and a home-safety note — aging strong is measured in small capacities, and this book counts them without decline narratives.",meter,107_Aging_Strong_Journey_interior.pdf,107_Aging_Strong_Journey_COVER_WRAP.pdf,107_Aging_Strong_Journey_COVER_FRONT.pdf,listing.txt,9.99,[]
108,108_Care_Partner_Long_Goodbye,108_Care_Partner_Long_Goodbye,Care Partner's Long Goodbye,"What Happened, What They Said, What I Need & One Memory (Undated)",LIFE RANGE SERIES,118,6x9,"Gentle cards for the long goodbye: what happened today, what they said, what I need, and one memory — the care partner carries two losses at once, and this book holds both.",cards,108_Care_Partner_Long_Goodbye_interior.pdf,108_Care_Partner_Long_Goodbye_COVER_WRAP.pdf,108_Care_Partner_Long_Goodbye_COVER_FRONT.pdf,listing.txt,9.99,[]
