id,imprint,wave,order,title,subtitle,author,series,trim,pages,paper,cats,keywords,price,interior_file,cover_file,images,copy,bn,digital,hc,rank,notes
QM-13,Quiet Mind Press,2,99,The Slow Page: A Slow Living Journal for Four Seasons,One Unhurried Page a Day for Four Seasons,Quiet Mind Press,Quiet Mind Journals,"6"" × 9""",144,cream,Self-Help / Journaling | Self-Help / Motivational,"['slow living journal', 'seasonal living notebook', 'hygge daily journal', 'intentional living journal', 'four seasons journal', 'unhurried morning pages', 'quiet life journal']",$9.99,release4/slow/slow_interior.pdf,release4/slow/slow_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/slow/metadata.txt,LIST,$6.99,LIST,33,
QM-16,Quiet Mind Press,2,99,Botanical Ink: Fine-Line Floral Coloring Book for Adults,49 Herbarium Plates with Real Phyllotaxis Spirals,Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",104,white,Crafts / Coloring Books | Arts / Drawing,"['botanical coloring book adults', 'fine line floral coloring', 'herbarium coloring book', 'vintage botanical line art', 'detailed flower coloring adults', 'botanical garden coloring book', 'plant lover coloring book']",$9.99,release4/botanical/botanical_interior.pdf,release4/botanical/botanical_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/botanical/metadata.txt,HOLD,$6.99,HOLD,31,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-17,Quiet Mind Press,2,99,Celestial Atlas: Constellation Coloring Book for Adults,49 Constellation Plates from Real Star Positions,Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",104,white,Crafts / Coloring Books | Arts / Drawing,"['constellation coloring book', 'celestial coloring book adults', 'real star map coloring', 'moon phases coloring book', 'astronomy coloring adults', 'galaxy fine line coloring', 'night sky coloring book']",$9.99,release4/celestial/celestial_interior.pdf,release4/celestial/celestial_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/celestial/metadata.txt,HOLD,$6.99,HOLD,46,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
QM-18,Quiet Mind Press,2,99,Tidal Ink: Jellyfish and Deep-Sea Fine-Line Coloring Book for Adults,49 Fine-Line Deep-Sea Plates from Real Logarithmic Spirals,Quiet Mind Press,Quiet Mind Color,"8.5"" × 11""",104,white,Crafts / Coloring Books | Crafts / Animals,"['jellyfish coloring book adults', 'ocean coloring book adults', 'nautilus spiral coloring', 'deep sea coloring book', 'marine life fine line coloring', 'coastal coloring book adults', 'underwater coloring pages']",$9.99,release4/tidal/tidal_interior.pdf,release4/tidal/tidal_cover_wrap.pdf,cover.jpg + listing_02-05_interior.jpg + listing_06_callout.jpg + listing_07_series.jpg,release4/tidal/metadata.txt,HOLD,$6.99,HOLD,37,"no Blurb (trim not offered); BN HOLD (<120pp) — kit on disk, do not upload; HC HOLD (coloring) — kit on disk, do not upload"
RB-01,Range Band Press,1,1,GLP-1 Meal & Satiety Journal,"Undated 8-Week Protein, Fiber & Hunger Tracker (Two-Page Daily Spreads)",Range Band Press,GLP-1 TRACKING SERIES,"6"" × 9""",131,white,HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000) | HEALTH & FITNESS / Weight Loss  (HEA006000),"['glp-1 meal journal', 'semaglutide food diary', 'protein fiber tracker undated', 'hunger scale notebook', 'satiety log book', 'weight loss meal tracker', 'injection day food journal']",$9.99,01_GLP1_Meal_and_Satiety/01_GLP1_Meal_and_Satiety_interior.pdf,01_GLP1_Meal_and_Satiety/01_GLP1_Meal_and_Satiety_COVER_WRAP.pdf,none (listing images not built for RB),01_GLP1_Meal_and_Satiety/listing.txt,LIST,$9.99,not built,52,
RB-05,Range Band Press,1,2,GLP-1 Hunger & Craving Mood Log,"90-Day Four-Quadrant Tracker for Mood, Intensity & What I Did Instead",Range Band Press,GLP-1 TRACKING SERIES,"6"" × 9""",113,white,HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000) | SELF-HELP / Eating Disorders & Body Image  (SEL014000),"['craving tracker journal', 'glp-1 hunger log', 'emotional eating diary undated', 'what i did instead notebook', 'appetite awareness journal', '90 day craving log', 'mood food tracker']",$9.99,05_GLP1_Hunger_Craving/05_GLP1_Hunger_Craving_interior.pdf,05_GLP1_Hunger_Craving/05_GLP1_Hunger_Craving_COVER_WRAP.pdf,none (listing images not built for RB),05_GLP1_Hunger_Craving/listing.txt,LIST,$9.99,not built,39,
RB-09,Range Band Press,1,3,GLP-1 Injection Sticker Calendar,Undated 12-Month 8.5 x 11 Log with Site Map & Refill Pages,Range Band Press,GLP-1 TRACKING SERIES,"8.5"" × 11""",98,white,HEALTH & FITNESS / Diseases / General  (HEA039000) | NON-CLASSIFIABLE  (NON000000),"['glp-1 injection calendar', 'sticker shot planner 8.5x11', 'site rotation tracker book', 'weekly injection log calendar', 'undated med calendar', 'semaglutide sticker journal', 'refill reminder calendar']",$9.99,09_GLP1_Injection_Calendar/09_GLP1_Injection_Calendar_interior.pdf,09_GLP1_Injection_Calendar/09_GLP1_Injection_Calendar_COVER_WRAP.pdf,none (listing images not built for RB),09_GLP1_Injection_Calendar/listing.txt,LIST,$9.99,not built,43,Empty QR box
RB-30,Range Band Press,1,4,PMDD & Cycle Mood Chart,"6-Cycle Daily Mood, Irritability & Luteal Flag Tracker (Not a Diagnosis)",Range Band Press,WELLNESS COMPANION SERIES,"6"" × 9""",188,white,HEALTH & FITNESS / Menopause  (HEA024000) | HEALTH & FITNESS / Women's Health  (HEA028000),"['pmdd tracker journal', 'luteal phase mood chart', '6 cycle daily mood log', 'premenstrual irritability diary', 'hormone mood notebook undated', 'pmdd symptom severity log', 'flag day cycle journal']",$9.99,30_PMDD_Cycle/30_PMDD_Cycle_interior.pdf,30_PMDD_Cycle/30_PMDD_Cycle_COVER_WRAP.pdf,none (listing images not built for RB),30_PMDD_Cycle/listing.txt,LIST,$9.99,not built,47,
RB-10,Range Band Press,1,5,Sober Curious 90-Day Journal,"Gender-Neutral Trigger, Craving & Gratitude Tracker (Not 12-Step)",Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",113,white,SELF-HELP / Substance Abuse & Addictions / Alcohol  (SEL026000) | SELF-HELP / Affirmations  (SEL006000),"['sober curious journal', '90 day sober tracker', 'alcohol craving log undated', 'dry january journal', 'gender neutral recovery notebook', 'sober october diary', 'not 12 step journal']",$9.99,10_Sobriety_90/10_Sobriety_90_interior.pdf,10_Sobriety_90/10_Sobriety_90_COVER_WRAP.pdf,none (listing images not built for RB),10_Sobriety_90/listing.txt,LIST,$9.99,not built,35,
RB-12,Range Band Press,1,6,Migraine Weather & Trigger Diary,"Pain Map, Aura Checklist, Barometric Pressure Log & Monthly Dashboard",Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",97,white,HEALTH & FITNESS / Diseases / Nervous System (incl. Brain)  (HEA039050) | HEALTH & FITNESS / Pain Management  (HEA009000),"['migraine tracker journal', 'headache weather diary', 'barometric pressure log', 'aura symptom notebook', 'pain map headache journal', 'undated migraine log', 'trigger diary for migraines']",$9.99,12_Migraine_Weather/12_Migraine_Weather_interior.pdf,12_Migraine_Weather/12_Migraine_Weather_COVER_WRAP.pdf,none (listing images not built for RB),12_Migraine_Weather/listing.txt,LIST,$9.99,not built,40,
RB-02,Range Band Press,2,99,GLP-1 Side Effect Tracker,Weekly Symptom Log with Severity Grids & Clinic Visit Prep Pages,Range Band Press,GLP-1 TRACKING SERIES,"6"" × 9""",92,white,HEALTH & FITNESS / Diseases / General  (HEA039000) | HEALTH & FITNESS / Women's Health  (HEA028000),"['glp-1 side effect tracker', 'semaglutide symptom diary', 'nausea constipation log', 'weekly severity grid journal', 'clinic visit prep notebook', 'injection site symptom log', 'undated gi side effect diary']",$9.99,02_GLP1_Side_Effect_Diary/02_GLP1_Side_Effect_Diary_interior.pdf,02_GLP1_Side_Effect_Diary/02_GLP1_Side_Effect_Diary_COVER_WRAP.pdf,none (listing images not built for RB),02_GLP1_Side_Effect_Diary/listing.txt,LIST,$9.99,not built,11,
RB-03,Range Band Press,3,99,GLP-1 Plateau Breaker 30-Day Challenge Planner,"Daily Habit Grid, Mindset Prompts & Encore Cycle (Undated)",Range Band Press,GLP-1 TRACKING SERIES,"6"" × 9""",107,white,HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000) | SELF-HELP / Motivational & Inspirational  (SEL020000),"['weight loss plateau journal', 'glp-1 30 day challenge', 'plateau breaker habit tracker', 'undated challenge planner', 'protein habit grid book', 'mindset prompt journal women', 'encore cycle planner']",$9.99,03_GLP1_Plateau_Breaker/03_GLP1_Plateau_Breaker_interior.pdf,03_GLP1_Plateau_Breaker/03_GLP1_Plateau_Breaker_COVER_WRAP.pdf,none (listing images not built for RB),03_GLP1_Plateau_Breaker/listing.txt,LIST,$9.99,not built,29,Empty QR box
RB-04,Range Band Press,4,99,GLP-1 Maintenance Phase Tracker,"12-Month Range Band, Refill Log & Relapse-Risk Journal",Range Band Press,GLP-1 TRACKING SERIES,"6"" × 9""",85,white,HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000) | HEALTH & FITNESS / Women's Health  (HEA028000),"['weight maintenance journal', 'glp-1 maintenance tracker', 'range band weight log', 'refill reminder notebook', 'post shot maintenance diary', '12 month health tracker', 'relapse prevention journal']",$9.99,04_GLP1_Maintenance/04_GLP1_Maintenance_interior.pdf,04_GLP1_Maintenance/04_GLP1_Maintenance_COVER_WRAP.pdf,none (listing images not built for RB),04_GLP1_Maintenance/listing.txt,LIST,$9.99,not built,4,
RB-06,Range Band Press,3,99,GLP-1 Fitness & Step Companion,"32-Week Strength, Cardio & Recovery Log (Undated)",Range Band Press,GLP-1 TRACKING SERIES,"6"" × 9""",85,white,HEALTH & FITNESS / Exercise / General  (HEA007000) | HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000),"['glp-1 workout log', 'strength training while losing', 'step tracker journal undated', 'muscle preservation log book', 'rpe fitness notebook', 'walking habit tracker', 'recovery lifting diary']",$9.99,06_GLP1_Fitness/06_GLP1_Fitness_interior.pdf,06_GLP1_Fitness/06_GLP1_Fitness_COVER_WRAP.pdf,none (listing images not built for RB),06_GLP1_Fitness/listing.txt,LIST,$9.99,not built,5,
RB-07,Range Band Press,2,99,GLP-1 Titration Log (Pocket 5x8),Weekly Dose-as-Prescribed Notebook with Pen & Refill Reminders,Range Band Press,GLP-1 TRACKING SERIES,"5"" × 8""",78,white,HEALTH & FITNESS / Diseases / General  (HEA039000) | HEALTH & FITNESS / Reference  (HEA020000),"['glp-1 titration log', 'pocket injection notebook', 'dose as prescribed journal', 'pen refill tracker 5x8', 'weekly shot date log', 'semaglutide dose notebook', 'undated med pocket log']",$9.99,07_GLP1_Titration_Pocket/07_GLP1_Titration_Pocket_interior.pdf,07_GLP1_Titration_Pocket/07_GLP1_Titration_Pocket_COVER_WRAP.pdf,none (listing images not built for RB),07_GLP1_Titration_Pocket/listing.txt,LIST,$9.99,not built,6,; spine OFF (78pp<79)
RB-08,Range Band Press,2,99,Non-Scale Victories Gratitude Journal,"120-Day GLP-1 Progress Log for Energy, Clothing Fit & Labs",Range Band Press,GLP-1 TRACKING SERIES,"6"" × 9""",131,white,SELF-HELP / Personal Growth / Happiness  (SEL016000) | HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000),"['non scale victory journal', 'glp-1 gratitude journal', 'clothing fit tracker', 'body kindness diary women', 'undated nsv notebook', 'weight loss mindset journal', '120 day gratitude log']",$9.99,08_GLP1_NSV_Gratitude/08_GLP1_NSV_Gratitude_interior.pdf,08_GLP1_NSV_Gratitude/08_GLP1_NSV_Gratitude_COVER_WRAP.pdf,none (listing images not built for RB),08_GLP1_NSV_Gratitude/listing.txt,LIST,$9.99,not built,34,
RB-11,Range Band Press,3,99,Intermittent Fasting Window Tracker,12-Week 16:8 / Custom Fast Log with 24-Hour Timeline Bars,Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",107,white,HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000) | HEALTH & FITNESS / Weight Loss  (HEA006000),"['intermittent fasting log', '16 8 fasting tracker', 'fasting window journal', '24 hour timeline food diary', 'time restricted eating log', '12 week if notebook', 'undated fasting tracker']",$9.99,11_IF_Window_Tracker/11_IF_Window_Tracker_interior.pdf,11_IF_Window_Tracker/11_IF_Window_Tracker_COVER_WRAP.pdf,none (listing images not built for RB),11_IF_Window_Tracker/listing.txt,LIST,$9.99,not built,26,
RB-13,Range Band Press,4,99,ADHD Medication & Focus Log,"90-Day Dose Tracker, Pomodoro Focus Boxes & Dopamine Stamp Pages",Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",113,white,HEALTH & FITNESS / Diseases / Nervous System  (HEA039110) | SELF-HELP / Personal Growth / Success  (SEL014000),"['adhd medication log book', 'stimulant dose as prescribed', 'pomodoro focus tracker', 'adhd daily focus boxes', 'wear off crash journal', 'undated adhd med notebook', 'copy the bottle log']",$9.99,13_ADHD_Focus_Log/13_ADHD_Focus_Log_interior.pdf,13_ADHD_Focus_Log/13_ADHD_Focus_Log_COVER_WRAP.pdf,none (listing images not built for RB),13_ADHD_Focus_Log/listing.txt,LIST,$9.99,not built,17,
RB-14,Range Band Press,4,99,Perimenopause Symptom & Mood Chart,"90-Day Hot Flash, Sleep Wheel & Cycle Timeline Tracker",Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",107,white,HEALTH & FITNESS / Women's Health  (HEA028000) | HEALTH & FITNESS / Menopause  (HEA024000),"['hot flash tracker journal', 'sleep wheel peri chart', 'night sweat log book', 'cycle timeline notebook', 'peri symptom tally journal', 'undated hot flash diary', 'clinic questions peri log']",$9.99,14_Perimenopause_Chart/14_Perimenopause_Chart_interior.pdf,14_Perimenopause_Chart/14_Perimenopause_Chart_COVER_WRAP.pdf,none (listing images not built for RB),14_Perimenopause_Chart/listing.txt,LIST,$9.99,not built,1,
RB-15,Range Band Press,3,99,Low FODMAP Food & Symptom Diary,8-Week Gut Tracker with Bristol Chart & Reintroduction Cards,Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",88,white,HEALTH & FITNESS / Diseases / Gastrointestinal  (HEA039010) | HEALTH & FITNESS / Diet & Nutrition / Nutrition  (HEA019000),"['low fodmap food diary', 'ibs symptom tracker journal', 'bristol stool log book', 'elimination diet notebook', 'gut latency food journal', 'reintroduction food cards', 'undated fodmap diary']",$9.99,15_FODMAP_Gut_Diary/15_FODMAP_Gut_Diary_interior.pdf,15_FODMAP_Gut_Diary/15_FODMAP_Gut_Diary_COVER_WRAP.pdf,none (listing images not built for RB),15_FODMAP_Gut_Diary/listing.txt,LIST,$9.99,not built,10,
RB-16,Range Band Press,4,99,Digital Detox 30-Day Screen Time Workbook,"Daily Usage Bar, Dopamine Trigger Log & Real-World Habit Substitutions",Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",96,white,SELF-HELP / Self-Management / Time Management  (SEL027000) | SELF-HELP / Green Lifestyle  (SEL043000),"['screen time journal 30 day', 'phone habit tracker workbook', 'digital wellbeing log', 'real world substitution journal', 'attention journal undated', 'social media hours tracker', 'unplug 30 day notebook']",$9.99,16_Digital_Detox_30/16_Digital_Detox_30_interior.pdf,16_Digital_Detox_30/16_Digital_Detox_30_COVER_WRAP.pdf,none (listing images not built for RB),16_Digital_Detox_30/listing.txt,LIST,$9.99,not built,14,
RB-17,Range Band Press,4,99,Postpartum Recovery Planner,12-Week Pelvic Floor PT Homework Tracker (Not an Exercise Program),Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",102,white,HEALTH & FITNESS / Pregnancy & Childbirth  (HEA044000) | HEALTH & FITNESS / Women's Health  (HEA028000),"['postpartum recovery journal', 'pelvic floor pt homework log', 'c section recovery tracker', '12 week new mom planner', 'assigned homework notebook', 'undated postpartum log', 'stitches incision care diary']",$9.99,17_Postpartum_Recovery/17_Postpartum_Recovery_interior.pdf,17_Postpartum_Recovery/17_Postpartum_Recovery_COVER_WRAP.pdf,none (listing images not built for RB),17_Postpartum_Recovery/listing.txt,LIST,$9.99,not built,23,Empty QR box
RB-18,Range Band Press,3,99,Autoimmune Flare & Energy Journal,"90-Day Spoon Tracker, Symptom Grid & Medication-as-Prescribed Log",Range Band Press,WELLNESS TRACKING SERIES,"6"" × 9""",113,white,HEALTH & FITNESS / Diseases / General  (HEA039000) | HEALTH & FITNESS / Diseases / Immune System  (HEA039020),"['spoon theory journal', 'autoimmune flare tracker', 'chronic illness energy log', 'fatigue pain grid notebook', 'undated flare diary', 'medication as prescribed log', 'immune symptom journal']",$9.99,18_Autoimmune_Flare/18_Autoimmune_Flare_interior.pdf,18_Autoimmune_Flare/18_Autoimmune_Flare_COVER_WRAP.pdf,none (listing images not built for RB),18_Autoimmune_Flare/listing.txt,LIST,$9.99,not built,36,
