id,imprint,n,title,subtitle,pages,trim,paper,series,difficulty,kdp_price,kdp_kit_files,bn_status,bn_price,hc_status,hc_price,blurb_price,digital_price,digital_status,lulu_global,lulu_store,ingram,i18n,glp1,wave,ads,rank,release_dir,folder,notes
RB-12,Range Band Press,12,Migraine Weather & Trigger Diary,"Pain Map, Aura Checklist, Barometric Pressure Log & Monthly Dashboard",97,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W1,True,40,,12_Migraine_Weather,
RB-13,Range Band Press,13,ADHD Medication & Focus Log,"90-Day Dose Tracker, Pomodoro Focus Boxes & Dopamine Stamp Pages",113,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,17,,13_ADHD_Focus_Log,
RB-14,Range Band Press,14,Perimenopause Symptom & Mood Chart,"90-Day Hot Flash, Sleep Wheel & Cycle Timeline Tracker",107,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,1,,14_Perimenopause_Chart,
RB-15,Range Band Press,15,Low FODMAP Food & Symptom Diary,8-Week Gut Tracker with Bristol Chart & Reintroduction Cards,88,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W3,False,10,,15_FODMAP_Gut_Diary,
RB-16,Range Band Press,16,Digital Detox 30-Day Screen Time Workbook,"Daily Usage Bar, Dopamine Trigger Log & Real-World Habit Substitutions",96,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,14,,16_Digital_Detox_30,
RB-17,Range Band Press,17,Postpartum Recovery Planner,12-Week Pelvic Floor PT Homework Tracker (Not an Exercise Program),102,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,23,,17_Postpartum_Recovery,Empty QR box
RB-18,Range Band Press,18,Autoimmune Flare & Energy Journal,"90-Day Spoon Tracker, Symptom Grid & Medication-as-Prescribed Log",113,6×9,white,WELLNESS TRACKING SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W3,False,36,,18_Autoimmune_Flare,
RB-19,Range Band Press,19,GLP-1 High-Protein Grocery & Meal Prep Planner,"12-Week Shopping Lists, Batch-Cook Logs & Fridge Maps (Undated)",136,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,41,,19_GLP1_Protein_Grocery,
RB-20,Range Band Press,20,"GLP-1 Restaurant, Travel & Social Event Log","60 Eating-Out Pages, 12 Trip Kits & Usual-Order Cards",85,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W3,False,3,,20_GLP1_Out_and_About,
RB-21,Range Band Press,21,"GLP-1 Measurements, Photos & Lab Archive","12-Month Inches, Clothing, Photo Log & Blank Lab Copy Sheets",85,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W4,False,2,,21_GLP1_Archive,
RB-22,Range Band Press,22,"GLP-1 Sleep, Bowel & Hydration Companion","90-Day Bristol Chart, Sleep Quality & Water Tally (Undated)",110,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,30,,22_GLP1_Sleep_Bowel_Water,
RB-23,Range Band Press,23,GLP-1 Body Image & Mindset Journal,90 Unique Prompts for a Changing Body (Undated Truce Practice),110,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W3,False,27,,23_GLP1_Body_Image,
RB-24,Range Band Press,24,GLP-1 Weekly Review & Clinic Brief Binder,52 Weeks of Review Spreads + One-Page Clinician Briefs,115,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,50,,24_GLP1_Weekly_Brief,
RB-25,Range Band Press,25,GLP-1 Shot Day 0-48 Hour Pocket Log,5x8 Two-Page Cycles: Injection Day + Next 48 Hours (36 Cycles),79,5×8,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W2,False,7,,25_GLP1_Shot_Day_Pocket,
RB-26,Range Band Press,26,GLP-1 Protein Kitchen Recipe & Leftover Log,60 Blank Recipe Cards + 30 Leftover Logs (Not a Cookbook),98,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W4,False,16,,26_GLP1_Protein_Kitchen,
RB-27,Range Band Press,27,GLP-1 Five-Minute Morning Pages,120 Compact Daily Pages for People Who Won't Fill a Spread,130,6×9,white,GLP-1 COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,yes,W3,False,48,,27_GLP1_Five_Minute,
RB-28,Range Band Press,28,Anxiety & Panic Sensation Log,"90 Unique Prompts, Body-First Tracking & Peak Timing (Not a Protocol)",110,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,18,,28_Anxiety_Panic,
RB-29,Range Band Press,29,Sleep Window & Wind-Down Diary,"12-Week Sleep Diary: Latency, WASO, Rise Time & Wind-Down (Tracking Only)",104,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,21,,29_Sleep_Window,
RB-30,Range Band Press,30,PMDD & Cycle Mood Chart,"6-Cycle Daily Mood, Irritability & Luteal Flag Tracker (Not a Diagnosis)",188,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,11.99,9.99,PARKED,none,no,W1,True,47,,30_PMDD_Cycle,
RB-31,Range Band Press,31,Glucose & Meal Timing Log,90-Day Meter/CGM Copy Sheets & Meal Context (Not a Dosing Protocol),110,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,20,,31_Glucose_Meal,
RB-32,Range Band Press,32,Chronic Pain Body Map & Flare Diary,"72 Flare Pages, Front/Back Maps, Monthly Function Dashboards",92,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,12,,32_Chronic_Pain,
RB-33,Range Band Press,33,Grief & Loss 90-Day Journal,"90 Unique Prompts — No Stages, No Silver Linings (Gender-Neutral)",117,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,49,,33_Grief_Loss,
RB-34,Range Band Press,34,12-Week Habit Operating System,"Weekly Contracts, Bad-Day Minimums & Environment Design (Undated)",117,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,19,,34_Habit_OS,
RB-35,Range Band Press,35,Burnout & Energy Budget Journal,"12-Week Meeting Cost, Recovery & Resentment Log (Not a Hustle Planner)",104,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,28,,35_Burnout_Energy,
RB-36,Range Band Press,36,Bladder & Pelvic Symptom Diary,"16 Three-Day Voiding Diaries (Drink, Void, Urgency, Leak) — Tracking Only",88,6×9,white,WELLNESS COMPANION SERIES,,9.99,4,LIST,14.99,,,,9.99,LIST,9.99,9.99,PARKED,none,no,W4,False,9,,36_Bladder_Pelvic,
