candidate_id,working_title,prototype_route,title_web_screen_date,title_web_screen_status,title_web_screen_note,local_prototype_integrity,local_asset_provenance,title_and_rights_clearance,route_technical_validation,accessibility_review,proof_or_usability_review,price_channel_decision,named_human_release_approval,overall_release_status,immediate_next_action
E11,The Move With Me Book,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Published 'Move With Me' uses close wording; title remains a review item.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E12,Make Space for Guests,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E13,Mend and Make,PAPERBACK PROTOTYPE,2026-08-31,RETITLE BEFORE RELEASE,A repair/build channel uses the exact title 'Mend and Make'.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E14,The Pressed Things Fieldbook,DIRECT-FIRST,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed; fieldbook/flower-pressing category uses were observed.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E15,Weekend Bake Notes,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E16,Make a Little Magazine,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,The phrase is generic and widely used in instructional content; distinctiveness review required.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E17,Color Study Fieldbook,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Color-study/workbook category uses surfaced; no clearance conclusion.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E18,The First Project Companion,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Close 'Companion Project' entertainment title surfaced; no exact-title conclusion.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E19,The Meeting Map,DIRECT-FIRST,2026-08-31,RETITLE BEFORE RELEASE,Published use of the exact title 'The Meeting Map' surfaced.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E20,Finish-Line Friday,PAPERBACK PROTOTYPE,2026-08-31,RETITLE BEFORE RELEASE,A same-job product uses the close title 'Friday Finish Line'.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E21,The Client Work Ledger,DIRECT-FIRST,2026-08-31,COUNSEL REVIEW REQUIRED,Client-ledger uses surfaced in a different functional category; qualified review required.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E22,One Project One Season,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E23,The Decision Record,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Decision-record terminology is established and generic in product/technical contexts.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E24,Office Hours at Home,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Office-hours/home-office uses surfaced; title remains a review item.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E25,The Supper Club Book,DIRECT-FIRST,2026-08-31,RETITLE BEFORE RELEASE,Multiple active books use the exact title 'The Supper Club Book'.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E26,The Picnic Year,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Published 'A Year of Picnics' is close in category and wording.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E27,The Housewarming Book,DIRECT-FIRST,2026-08-31,RETITLE BEFORE RELEASE,A published book uses the close title 'The Housewarming'.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E28,The Celebration Capsule,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Commercial collections use 'Celebration Capsule'; title remains a review item.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E29,The Shared Listening Book,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Shared-listening works surfaced; no exact-title conclusion.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E30,The Little Treat Book,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Published 'A Little Treat' is close in wording and gift/ritual positioning.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E31,Home Café Notes,PAPERBACK PROTOTYPE,2026-08-31,RETITLE BEFORE RELEASE,Cafe Notes is an active stationery brand and 'The Home Cafe' is a published adjacent title.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E32,Backyard Movie Night,DIRECT-FIRST,2026-08-31,COUNSEL REVIEW REQUIRED,Backyard movie-night event/rental uses are common; title remains a review item.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E33,The Secondhand Storybook,PAPERBACK PROTOTYPE,2026-08-31,RETITLE BEFORE RELEASE,"Published 'Second-Hand Stories' is close in spelling, subject, and format.",PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E34,Repair Before Replace,DIRECT-FIRST,2026-08-31,RETITLE BEFORE RELEASE,The exact repair-before-replace phrase appears in current published commercial content.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E35,The Weekend Field Guide,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Field-guide naming is common; localized/outings use requires qualified review.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E36,The Seasonal Swap Book,PAPERBACK PROTOTYPE,2026-08-31,COUNSEL REVIEW REQUIRED,Seasonal-swap titles exist in adjacent entertainment/gift categories; no clearance conclusion.,PASS - local structural validation,PASS - builder/source/hash trace available; commercial rights approval pending,PENDING QUALIFIED REVIEW,PENDING CURRENT PLATFORM/VENDOR SPECIFICATION,PENDING HUMAN FINAL-DESIGN REVIEW,PENDING PHYSICAL PROOF OR DOCUMENTED USABILITY SAMPLE,PENDING AUTHORIZED NAMED-HUMAN DECISION,PENDING NAMED-HUMAN APPROVAL,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE","Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
