candidate_id,working_title,primary_niche,core_job,route_recommendation,route_asset,prototype_trim_inches,prototype_page_count,status,author,author_status,claims_boundary,first_test
E15,Weekend Bake Notes,baking hobby,Turn baking experiments into a personal reference and giftable record,Paperback candidate plus direct recipe-card refill later,paperback_cover_wrap.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No nutrition allergen food-safety or dietary advice,Test one baking-theme sampler with hobbyists
E16,Make a Little Magazine,zine making and paper craft,Help beginners structure an original small print project,Paperback candidate plus physical zine-making kit later,paperback_cover_wrap.pdf,8.5x11.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No copyright clearance publishing or business advice,Test a four-page project sampler and workshop interest
E17,Color Study Fieldbook,color exploration and art practice,Give hobby artists a reusable visual reference that is not a generic coloring book,Paperback candidate with original art; no duplicated variations,paperback_cover_wrap.pdf,8.0x8.0,80,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No art-therapy or skill-outcome claims,Test two original palette exercises and format preference
E18,The First Project Companion,beginner craft projects,Keep new hobbyists oriented across a first project without teaching a restricted method,Paperback candidate plus category-specific kit insert later,paperback_cover_wrap.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No professional instruction safety certification or outcome claims,Test needlepoint crochet and pottery cohorts separately; no borrowed patterns
E19,The Meeting Map,meeting productivity,Turn meeting notes into an accountable next-action record,Direct B2B pilot or paperback candidate after rights review,front_cover_concept.pdf,7.0x9.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No employment legal performance-management or productivity guarantee claims,Test with independent professionals using a print-at-home sample
E20,Finish-Line Friday,weekly work reset,Create a consistent end-of-week review ritual for knowledge workers,Paperback candidate plus tear-pad later,paperback_cover_wrap.pdf,6.0x8.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No mental-health or workplace-performance outcome claims,Test Friday-review sample with hybrid and freelance users
E21,The Client Work Ledger,freelance project organization,Keep client project history in a paper workflow without offering business advice,Direct downloadable template test then paperback candidate,front_cover_concept.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No tax legal contract pricing or business-results advice,Test a single-project printable sample with freelancers
E22,One Project One Season,personal projects,Help users maintain an original project arc without hustle framing,Paperback candidate plus direct seasonal cohort kit later,paperback_cover_wrap.pdf,7.0x9.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No achievement productivity or therapeutic outcome claims,Test one twelve-week sample with maker communities
E23,The Decision Record,decision journaling,Capture decisions so individuals and teams can learn without hindsight rewriting,Paperback candidate plus direct team workshop sheets later,paperback_cover_wrap.pdf,6.0x8.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No legal financial medical or professional advice,Test solo-maker and manager-free individual use cases
E24,Office Hours at Home,hybrid work routines,Plan changing work locations and routines on paper,Paperback candidate plus desk pad later,paperback_cover_wrap.pdf,8.0x10.0,104,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No employment accommodation or productivity guarantee claims,Test hybrid-week sample and office/home configuration choices
E25,The Supper Club Book,home entertaining,Build a repeatable record of informal hosted meals,Direct gift object first; paperback candidate with original guided content,front_cover_concept.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No food-safety alcohol service or event-safety advice,Test themed dinner and potluck sample spreads
E26,The Picnic Year,picnics and low-key outings,Plan and remember small outdoor gatherings,Paperback candidate plus waterproof direct card set later,paperback_cover_wrap.pdf,7.0x9.0,80,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No weather wildlife food-safety or public-land advice,Test one park-day card set and local-outing landing page
E27,The Housewarming Book,housewarming and home memory,Create a meaningful housewarming artifact rather than a generic guest book,Direct physical keepsake object first; paperback only as distinct edition,front_cover_concept.pdf,8.0x10.0,96,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No real-estate legal safety or security advice,Test premium gift format with new-home gift buyers
E28,The Celebration Capsule,milestone gifting,Capture life events without being tied to a single occasion,Paperback candidate plus customizable direct cover later,paperback_cover_wrap.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No emotional outcome or relationship counseling claims,Test graduation and birthday editions with distinct interiors
E29,The Shared Listening Book,music memory and gifting,Document personal listening experiences without reproducing protected lyrics,Paperback candidate plus direct concert-ticket insert pack later,paperback_cover_wrap.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No music-licensing copyright or therapeutic claims,Test music-club and concert-goer samples without lyrics or copyrighted artwork
E30,The Little Treat Book,everyday gifting,Help users notice and plan small non-occasion celebrations,Paperback candidate plus mini card deck later,paperback_cover_wrap.pdf,6.0x8.0,80,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No retail financial or emotional-outcome claims,Test mini gift-planning card format
E31,Home Café Notes,home café hobby,Document non-alcoholic drink experiments and home-coffee rituals,Paperback candidate plus countertop recipe-card stand later,paperback_cover_wrap.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No caffeine health nutrition or food-safety advice,Test coffee and tea audiences with separate original samples
E32,Backyard Movie Night,backyard entertaining,Organize casual at-home movie gatherings without event complexity,Direct printable invitation/plan kit test then paperback candidate,front_cover_concept.pdf,8.0x10.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No electrical weather crowd-safety or licensing advice,Test a one-night printable kit and collect format feedback
E33,The Secondhand Storybook,secondhand collecting,Make thrifted and inherited objects more meaningful without valuation claims,Paperback candidate plus direct tag/label set later,paperback_cover_wrap.pdf,8.0x8.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No appraisal authentication resale or legal ownership advice,Test vintage-home and thrifting hobby samples
E34,Repair Before Replace,household repair planning,Help users track nontechnical repair decisions and product lifespan,Direct printable household record first; paperback candidate later,front_cover_concept.pdf,7.0x9.0,88,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No repair safety electrical plumbing warranty or professional advice,Test a household appliance/furniture sample without instructions
E35,The Weekend Field Guide,local travel and outings,Turn nearby outings into a repeatable discovery habit,Paperback candidate plus direct local-city inserts later,paperback_cover_wrap.pdf,5.0x8.0,80,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No travel safety accessibility legal or tourism advice,Test a city-neutral weekend sampler in Philadelphia-area user research
E36,The Seasonal Swap Book,seasonal living and organization,Make seasonal transitions manageable and personal,Paperback candidate plus reusable tabbed binder concept later,paperback_cover_wrap.pdf,8.0x10.0,104,"LOCAL PROTOTYPE PACKAGE - HOLD - NOT FOR SALE, UPLOAD, OR MANUFACTURE",Arden Vellor,owner-directed provisional local attribution only,No mold pest safety environmental or disposal advice,Test fall-to-winter and spring-to-summer printable modules
