candidate_id,working_title,subtitle_concept,primary_niche,core_job,primary_format,route_recommendation,differentiation,claims_boundary,seasonality,first_test,production_status
E11,The Move With Me Book,A calm project book for changing addresses and making a new place yours,moving and housewarming,Organize a move and capture first-home memories,8x10 guided workbook,Paperback candidate plus direct moving-folder inserts,Room-by-room arrival cards address-change checklist and first-month memory pages,No legal leasing real-estate or moving-safety advice,Spring/summer moving and housewarming,Test first-apartment and new-home buyer versions as separate content,CANDIDATE — not in portfolio; no production or sale authorization
E12,Make Space for Guests,A low-pressure hosting notebook for meals visits and overnight company,casual hosting,Plan warm gatherings at a scale that suits the host,7x9 guided hosting book,Paperback candidate plus direct tabletop planning pad later,Guest comfort map flexible menu planner and post-gathering keeper notes,No food-safety alcohol or event-safety advice,Spring/summer and Q4 holidays,Test brunch picnic and overnight-guest sample pages,CANDIDATE — not in portfolio; no production or sale authorization
E13,Mend and Make,A project record for repairs visible mending and things kept in use,repair and visible mending,Track repair projects supplies and lessons without providing technical instruction,7x9 project log,Paperback candidate plus field-card tool-kit later,Before-after story pages material swatches and repair-decision record,No tool safety structural electrical or textile-preservation advice,Evergreen with sustainable-gift positioning,Test visible-mending and household-repair audiences separately,CANDIDATE — not in portfolio; no production or sale authorization
E14,The Pressed Things Fieldbook,A keepsake journal for flowers leaves and small seasonal findings,flower pressing and nature craft,Document and display pressed natural materials,8x10 mixed-media activity book,Direct physical kit first; paperback only with original activity content,Pressing log identification-free observation prompts and mounting layouts,No plant identification for consumption allergy or safety advice,Spring/summer and Mother’s Day,Test a non-specimen collecting kit with clearly sourced materials,CANDIDATE — not in portfolio; no production or sale authorization
E15,Weekend Bake Notes,Recipes tested people fed and the small adjustments worth repeating,baking hobby,Turn baking experiments into a personal reference and giftable record,8x10 recipe-testing workbook,Paperback candidate plus direct recipe-card refill later,Repeatable test matrix texture notes occasion index and photo cue,No nutrition allergen food-safety or dietary advice,Q4 and seasonal baking,Test one baking-theme sampler with hobbyists,CANDIDATE — not in portfolio; no production or sale authorization
E16,Make a Little Magazine,A hands-on workbook for one-person zines photo stories and paper projects,zine making and paper craft,Help beginners structure an original small print project,8.5x11 illustrated workbook,Paperback candidate plus physical zine-making kit later,Issue map foldable prototype exercises and distribution-free project prompts,No copyright clearance publishing or business advice,Back-to-school and analog-hobby Q4,Test a four-page project sampler and workshop interest,CANDIDATE — not in portfolio; no production or sale authorization
E17,Color Study Fieldbook,A practical book of palettes swatches and what you notice while making,color exploration and art practice,Give hobby artists a reusable visual reference that is not a generic coloring book,8x8 activity/workbook,Paperback candidate with original art; no duplicated variations,Palette-building exercises material notes and finished-piece reflection,No art-therapy or skill-outcome claims,Evergreen and creative-gift periods,Test two original palette exercises and format preference,CANDIDATE — not in portfolio; no production or sale authorization
E18,The First Project Companion,A beginner’s record for learning one craft at a time,beginner craft projects,Keep new hobbyists oriented across a first project without teaching a restricted method,7x9 guided project book,Paperback candidate plus category-specific kit insert later,Skill vocabulary in the maker’s own words materials log and restart map,No professional instruction safety certification or outcome claims,Spring hobby and Q4 gifting,Test needlepoint crochet and pottery cohorts separately; no borrowed patterns,CANDIDATE — not in portfolio; no production or sale authorization
E19,The Meeting Map,A visual notebook for decisions handoffs and useful follow-through,meeting productivity,Turn meeting notes into an accountable next-action record,7x9 structured work notebook,Direct B2B pilot or paperback candidate after rights review,Decision map owner/date fields disagreement record and follow-through page,No employment legal performance-management or productivity guarantee claims,Evergreen with Q1 work planning,Test with independent professionals using a print-at-home sample,CANDIDATE — not in portfolio; no production or sale authorization
E20,Finish-Line Friday,A weekly closeout book for what moved what waited and what comes next,weekly work reset,Create a consistent end-of-week review ritual for knowledge workers,6x8 guided weekly review paperback,Paperback candidate plus tear-pad later,Week evidence page carry-forward filter calendar boundary and win archive,No mental-health or workplace-performance outcome claims,Evergreen plus January reset,Test Friday-review sample with hybrid and freelance users,CANDIDATE — not in portfolio; no production or sale authorization
E21,The Client Work Ledger,A project record for independent work from first note to final handoff,freelance project organization,Keep client project history in a paper workflow without offering business advice,8x10 project ledger,Direct downloadable template test then paperback candidate,Scope notes deliverable inventory revision map and retrospective prompt,No tax legal contract pricing or business-results advice,Evergreen,Test a single-project printable sample with freelancers,CANDIDATE — not in portfolio; no production or sale authorization
E22,One Project One Season,A twelve-week focus book for a self-chosen creative or practical project,personal projects,Help users maintain an original project arc without hustle framing,7x9 guided workbook,Paperback candidate plus direct seasonal cohort kit later,Project premise milestones friction log weekly studio dates and finish archive,No achievement productivity or therapeutic outcome claims,January and back-to-school,Test one twelve-week sample with maker communities,CANDIDATE — not in portfolio; no production or sale authorization
E23,The Decision Record,A notebook for choices context tradeoffs and later learning,decision journaling,Capture decisions so individuals and teams can learn without hindsight rewriting,6x8 structured notebook,Paperback candidate plus direct team workshop sheets later,Decision canvas assumptions alternatives review date and outcome reflection,No legal financial medical or professional advice,Evergreen,Test solo-maker and manager-free individual use cases,CANDIDATE — not in portfolio; no production or sale authorization
E24,Office Hours at Home,A hybrid-week planning book for work blocks home tasks and commute days,hybrid work routines,Plan changing work locations and routines on paper,8x10 planner/workbook,Paperback candidate plus desk pad later,Home-office setup cue commute transition page and location-aware weekly spread,No employment accommodation or productivity guarantee claims,January and back-to-school,Test hybrid-week sample and office/home configuration choices,CANDIDATE — not in portfolio; no production or sale authorization
E25,The Supper Club Book,Menus guest notes and the meals that become traditions,home entertaining,Build a repeatable record of informal hosted meals,8x10 hosting keepsake,Direct gift object first; paperback candidate with original guided content,Guest-circle map menu timeline table sketch and legacy recipe follow-up,No food-safety alcohol service or event-safety advice,Spring/summer and Q4 holidays,Test themed dinner and potluck sample spreads,CANDIDATE — not in portfolio; no production or sale authorization
E26,The Picnic Year,A practical memory book for park lunches blankets and local outdoor days,picnics and low-key outings,Plan and remember small outdoor gatherings,7x9 fieldbook,Paperback candidate plus waterproof direct card set later,Pack-light checklist place sketch weather note and shared-memory page,No weather wildlife food-safety or public-land advice,Spring through early fall,Test one park-day card set and local-outing landing page,CANDIDATE — not in portfolio; no production or sale authorization
E27,The Housewarming Book,A guest-and-home memory book for the first year in a new place,housewarming and home memory,Create a meaningful housewarming artifact rather than a generic guest book,8x10 keepsake hardcover concept,Direct physical keepsake object first; paperback only as distinct edition,Firsts calendar room stories visitor pages and home-made-here index,No real-estate legal safety or security advice,Housewarming and Q4 gifting,Test premium gift format with new-home gift buyers,CANDIDATE — not in portfolio; no production or sale authorization
E28,The Celebration Capsule,A record of little milestones ordinary wins and people who showed up,milestone gifting,Capture life events without being tied to a single occasion,7x9 guided keepsake book,Paperback candidate plus customizable direct cover later,Occasion-agnostic time capsule letters contributor pages and photo prompts,No emotional outcome or relationship counseling claims,Graduation birthdays retirements and Q4,Test graduation and birthday editions with distinct interiors,CANDIDATE — not in portfolio; no production or sale authorization
E29,The Shared Listening Book,Albums live shows playlists and the stories that songs carry,music memory and gifting,Document personal listening experiences without reproducing protected lyrics,7x9 guided music journal,Paperback candidate plus direct concert-ticket insert pack later,Listening maps performance memory pages and non-lyric story prompts,No music-licensing copyright or therapeutic claims,Evergreen with holiday gifting,Test music-club and concert-goer samples without lyrics or copyrighted artwork,CANDIDATE — not in portfolio; no production or sale authorization
E30,The Little Treat Book,A record of small celebrations thoughtful gifts and everyday delight,everyday gifting,Help users notice and plan small non-occasion celebrations,6x8 guided gift journal,Paperback candidate plus mini card deck later,Recipient observation pages little-treat menus and gift-memory archive,No retail financial or emotional-outcome claims,Evergreen with Q4 and Valentine’s,Test mini gift-planning card format,CANDIDATE — not in portfolio; no production or sale authorization
E31,Home Café Notes,Drinks rituals and the small details that make a corner feel like yours,home café hobby,Document non-alcoholic drink experiments and home-coffee rituals,7x9 recipe and ritual book,Paperback candidate plus countertop recipe-card stand later,Coffee-corner map taste notes guest drink cards and equipment-neutral routines,No caffeine health nutrition or food-safety advice,Autumn/winter gifting and year-round hobby,Test coffee and tea audiences with separate original samples,CANDIDATE — not in portfolio; no production or sale authorization
E32,Backyard Movie Night,A planning book for simple outdoor screenings and shared memories,backyard entertaining,Organize casual at-home movie gatherings without event complexity,8x10 planning workbook,Direct printable invitation/plan kit test then paperback candidate,Blanket-seat map snack theme list non-copyrighted discussion prompts and memory page,No electrical weather crowd-safety or licensing advice,Spring/summer and family reunions,Test a one-night printable kit and collect format feedback,CANDIDATE — not in portfolio; no production or sale authorization
E33,The Secondhand Storybook,A record of finds repairs display ideas and the lives objects have lived,secondhand collecting,Make thrifted and inherited objects more meaningful without valuation claims,8x8 collecting journal,Paperback candidate plus direct tag/label set later,Find story provenance-as-told condition notes display sketch and repair referral log,No appraisal authentication resale or legal ownership advice,Evergreen and sustainable-gift periods,Test vintage-home and thrifting hobby samples,CANDIDATE — not in portfolio; no production or sale authorization
E34,Repair Before Replace,A home-item decision book for fixes care and thoughtful replacement,household repair planning,Help users track nontechnical repair decisions and product lifespan,7x9 guided decision workbook,Direct printable household record first; paperback candidate later,Item history repair-question page service-contact log and replacement reflection,No repair safety electrical plumbing warranty or professional advice,Evergreen and spring reset,Test a household appliance/furniture sample without instructions,CANDIDATE — not in portfolio; no production or sale authorization
E35,The Weekend Field Guide,A local day-trip notebook for walks museums markets and small discoveries,local travel and outings,Turn nearby outings into a repeatable discovery habit,5x8 field journal,Paperback candidate plus direct local-city inserts later,Three-hour itinerary-free prompt route sketch and return-later list,No travel safety accessibility legal or tourism advice,Spring through fall and gifting,Test a city-neutral weekend sampler in Philadelphia-area user research,CANDIDATE — not in portfolio; no production or sale authorization
E36,The Seasonal Swap Book,A practical planner for rotating clothes decor and household rituals,seasonal living and organization,Make seasonal transitions manageable and personal,8x10 seasonal workbook,Paperback candidate plus reusable tabbed binder concept later,Four-season reset maps storage notes keep/donate reflection and tradition archive,No mold pest safety environmental or disposal advice,Quarterly peaks and Q4/January,Test fall-to-winter and spring-to-summer printable modules,CANDIDATE — not in portfolio; no production or sale authorization
