candidate_id,working_title,screen_date,exact_phrase_query,screen_scope,disposition,notable_result_or_limit,required_follow_up
E13,Mend and Make,2026-08-31,"""Mend and Make""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,A repair/build channel uses the exact title 'Mend and Make'.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E14,The Pressed Things Fieldbook,2026-08-31,"""The Pressed Things Fieldbook""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed; fieldbook/flower-pressing category uses were observed.,Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E15,Weekend Bake Notes,2026-08-31,"""Weekend Bake Notes""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E16,Make a Little Magazine,2026-08-31,"""Make a Little Magazine""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,The phrase is generic and widely used in instructional content; distinctiveness review required.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E17,Color Study Fieldbook,2026-08-31,"""Color Study Fieldbook""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Color-study/workbook category uses surfaced; no clearance conclusion.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E18,The First Project Companion,2026-08-31,"""The First Project Companion""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Close 'Companion Project' entertainment title surfaced; no exact-title conclusion.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E19,The Meeting Map,2026-08-31,"""The Meeting Map""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,Published use of the exact title 'The Meeting Map' surfaced.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E20,Finish-Line Friday,2026-08-31,"""Finish-Line Friday""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,A same-job product uses the close title 'Friday Finish Line'.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E21,The Client Work Ledger,2026-08-31,"""The Client Work Ledger""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Client-ledger uses surfaced in a different functional category; qualified review required.,Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E22,One Project One Season,2026-08-31,"""One Project One Season""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,No salient exact-title result observed in the limited general-web screen.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E23,The Decision Record,2026-08-31,"""The Decision Record""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Decision-record terminology is established and generic in product/technical contexts.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E24,Office Hours at Home,2026-08-31,"""Office Hours at Home""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Office-hours/home-office uses surfaced; title remains a review item.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E25,The Supper Club Book,2026-08-31,"""The Supper Club Book""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,Multiple active books use the exact title 'The Supper Club Book'.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E26,The Picnic Year,2026-08-31,"""The Picnic Year""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Published 'A Year of Picnics' is close in category and wording.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E27,The Housewarming Book,2026-08-31,"""The Housewarming Book""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,A published book uses the close title 'The Housewarming'.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E28,The Celebration Capsule,2026-08-31,"""The Celebration Capsule""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Commercial collections use 'Celebration Capsule'; title remains a review item.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E29,The Shared Listening Book,2026-08-31,"""The Shared Listening Book""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Shared-listening works surfaced; no exact-title conclusion.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E30,The Little Treat Book,2026-08-31,"""The Little Treat Book""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Published 'A Little Treat' is close in wording and gift/ritual positioning.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E31,Home Café Notes,2026-08-31,"""Home Café Notes""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,Cafe Notes is an active stationery brand and 'The Home Cafe' is a published adjacent title.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E32,Backyard Movie Night,2026-08-31,"""Backyard Movie Night""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Backyard movie-night event/rental uses are common; title remains a review item.,Select a vendor/physical product path; obtain final dielines and proof criteria before any manufacturing decision.
E33,The Secondhand Storybook,2026-08-31,"""The Secondhand Storybook""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,"Published 'Second-Hand Stories' is close in spelling, subject, and format.","Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E34,Repair Before Replace,2026-08-31,"""Repair Before Replace""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",RETITLE BEFORE RELEASE,The exact repair-before-replace phrase appears in current published commercial content.,"Select a replacement working title, repeat qualified title/rights review, then rebuild the affected package."
E35,The Weekend Field Guide,2026-08-31,"""The Weekend Field Guide""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Field-guide naming is common; localized/outings use requires qualified review.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
E36,The Seasonal Swap Book,2026-08-31,"""The Seasonal Swap Book""","limited general-web exact-phrase screen; not USPTO, state, domain, marketplace-complete, or counsel clearance",COUNSEL REVIEW REQUIRED,Seasonal-swap titles exist in adjacent entertainment/gift categories; no clearance conclusion.,"Confirm the final paperback route, current platform specification, and exact proof plan before any upload decision."
