release_group,imprint,branch,product_id,title,price,format,status,notes
Completed Catalog,Range Band Press,Range-Band,range-3,GLP-1 Plateau Breaker 30-Day Challenge Planner,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-4,GLP-1 Maintenance Phase Tracker,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-5,GLP-1 Hunger & Craving Mood Log,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-6,GLP-1 Fitness & Step Companion,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-7,GLP-1 Titration Log (Pocket 5x8),$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-8,Non-Scale Victories Gratitude Journal,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-9,GLP-1 Injection Sticker Calendar,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-10,Sober Curious 90-Day Journal,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-11,Intermittent Fasting Window Tracker,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-12,Migraine Weather & Trigger Diary,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-13,ADHD Medication & Focus Log,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-14,Perimenopause Symptom & Mood Chart,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-15,Low FODMAP Food & Symptom Diary,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-16,Digital Detox 30-Day Screen Time Workbook,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-17,Postpartum Recovery Planner,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-18,Autoimmune Flare & Energy Journal,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-19,GLP-1 High-Protein Grocery & Meal Prep Planner,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-20,"GLP-1 Restaurant, Travel & Social Event Log",$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-21,"GLP-1 Measurements, Photos & Lab Archive",$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-22,"GLP-1 Sleep, Bowel & Hydration Companion",$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-23,GLP-1 Body Image & Mindset Journal,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-24,GLP-1 Weekly Review & Clinic Brief Binder,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-25,GLP-1 Shot Day 0-48 Hour Pocket Log,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-26,GLP-1 Protein Kitchen Recipe & Leftover Log,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-27,GLP-1 Five-Minute Morning Pages,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-28,Anxiety & Panic Sensation Log,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-29,Sleep Window & Wind-Down Diary,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-30,PMDD & Cycle Mood Chart,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-31,Glucose & Meal Timing Log,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-32,Chronic Pain Body Map & Flare Diary,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-33,Grief & Loss 90-Day Journal,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-34,12-Week Habit Operating System,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-35,Burnout & Energy Budget Journal,$9.99,paperback,Published,
Completed Catalog,Range Band Press,Range-Band,range-36,Bladder & Pelvic Symptom Diary,$9.99,paperback,Published,
Wave 1,Stillwork Studio,ritual-library-catalog,rl-A01,Dose & Breathe,$16.99,paperback,Hold ? awaiting release gates,KDP ready after QA/legal
Wave 1,Stillwork Editions,ritual-library-catalog,rl-A04,Softer Words,$17.99,paperback,Hold ? awaiting release gates,KDP ready after QA/legal
Wave 1,Stillwork Editions,ritual-library-catalog,rl-A05,Night Harbor,$15.99,paperback,Hold ? awaiting release gates,KDP ready after QA/legal
Wave 1,Stillwork Editions,ritual-library-catalog,rl-B10,Rest & Regulate,$17.99,paperback,Hold ? awaiting release gates,KDP ready after QA/legal
Wave 1,Stillwork Editions,ritual-library-catalog,rl-B12,Back to Enough,$18.99,paperback,Hold ? awaiting release gates,KDP ready after QA/legal
Wave 1,Stillwork Editions,ritual-library-catalog,rl-B18,"Enough Money, Enough Calm",$18.99,paperback,Hold ? awaiting release gates,KDP ready after QA/legal
Wave 2,Stillwork Studio,ritual-library-catalog,rl-A02,Color Your Way Forward,TBD,paperback,Hold,Open-slot decision needed
Wave 2,Stillwork Editions,ritual-library-catalog,rl-A06,Stillness & Stretch,TBD,paperback,Hold ? review-heavy,Movement/health specialist review needed
Wave 2,Stillwork Editions,ritual-library-catalog,rl-A07,Steady Signal,TBD,paperback,Hold ? review-heavy,Clinical/claims review needed
Wave 2,Stillwork Editions,ritual-library-catalog,rl-A08,The Unhurried Year,TBD,paperback,Hold ? waitlist-first,Waitlist-first validation needed
Wave 2,Stillwork Editions,ritual-library-catalog,rl-B11,Under the Covers,TBD,paperback,Hold ? review-heavy,Weighted-blanket safety review needed
Wave 2,Stillwork Editions,ritual-library-catalog,rl-B13,The Breathwork Integration Book,TBD,paperback,Hold ? review-heavy,Trademark/safety review needed
Wave 2,Stillwork Editions,ritual-library-catalog,rl-B14,Among the Trees,TBD,paperback,Hold,Creative hypothesis and retail signal needed
Wave 2,Stillwork Editions,ritual-library-catalog,rl-B15,Color & Check In,TBD,paperback,Hold,Distinct value proposition required
Wave 2,Stillwork Editions,ritual-library-catalog,rl-B16,"Us, In Balance",TBD,paperback,Hold ? review-heavy,Relationship safety review needed
Vault,Stillwork Studio,ritual-library-catalog,rl-A03,The Scent of a Steady Year,N/A,wall-calendar,Do not publish to KDP,Format decision required
Vault,Stillwork Editions,ritual-library-catalog,rl-A09,Pocket of Calm,TBD,card-deck,Do not publish to KDP,Format/claims decision required
Vault,Stillwork Editions,ritual-library-catalog,rl-B17,One Minute at My Desk,TBD,desk-pad,Do not publish to KDP,Format decision required
